sample: 94, mc_sample: 10, mean reward: -6.749, std reward: 3.876
sample: 95, mc_sample: 10, mean reward: -5.006, std reward: 2.907
sample: 96, mc_sample: 10, mean reward: -4.687, std reward: 2.587
sample: 97, mc_sample: 10, mean reward: -7.384, std reward: 2.951
sample: 98, mc_sample: 10, mean reward: -5.902, std reward: 2.681
sample: 99, mc_sample: 10, mean reward: -3.359, std reward: 1.488
sample: 100, mc_sample: 10, mean reward: -4.567, std reward: 3.086
sample: 101, mc_sample: 10, mean reward: -4.619, std reward: 2.063
sample: 102, mc_sample: 10, mean reward: -5.619, std reward: 4.498
sample: 103, mc_sample: 10, mean reward: -5.805, std reward: 2.772
sample: 104, mc_sample: 10, mean reward: -5.483, std reward: 3.946
sample: 105, mc_sample: 10, mean reward: -5.101, std reward: 2.206
sample: 106, mc_sample: 10, mean reward: -4.785, std reward: 4.647
sample: 107, mc_sample: 10, mean reward: -6.687, std reward: 3.195
sample: 108, mc_sample: 10, mean reward: -4.843, std reward: 2.502
sample: 109, mc_sample: 10, mean reward: -4.191, std reward: 1.654
sample: 110, mc_sample: 10, mean reward: -3.339, std reward: 2.577
sample: 111, mc_sample: 10, mean reward: -3.79, std reward: 1.703
sample: 112, mc_sample: 10, mean reward: -5.439, std reward: 4.972
sample: 113, mc_sample: 10, mean reward: -5.362, std reward: 3.171
sample: 114, mc_sample: 10, mean reward: -4.362, std reward: 3.314
sample: 115, mc_sample: 10, mean reward: -4.26, std reward: 2.766
sample: 116, mc_sample: 10, mean reward: -4.676, std reward: 3.51
sample: 117, mc_sample: 10, mean reward: -3.531, std reward: 3.7
sample: 118, mc_sample: 10, mean reward: -3.555, std reward: 2.283
sample: 119, mc_sample: 10, mean reward: -5.687, std reward: 4.606
sample: 120, mc_sample: 10, mean reward: -3.151, std reward: 2.156
sample: 121, mc_sample: 10, mean reward: -5.793, std reward: 2.982
sample: 122, mc_sample: 10, mean reward: -4.194, std reward: 2.368
sample: 123, mc_sample: 10, mean reward: -3.995, std reward: 2.435
sample: 124, mc_sample: 10, mean reward: -2.613, std reward: 3.241
sample: 125, mc_sample: 10, mean reward: -4.478, std reward: 2.672
sample: 126, mc_sample: 10, mean reward: -4.697, std reward: 3.445
sample: 127, mc_sample: 10, mean reward: -4.028, std reward: 3.44
sample: 128, mc_sample: 10, mean reward: -4.448, std reward: 3.016
sample: 129, mc_sample: 10, mean reward: -5.85, std reward: 3.302
sample: 130, mc_sample: 10, mean reward: -4.042, std reward: 3.856
sample: 131, mc_sample: 10, mean reward: -3.953, std reward: 1.695
sample: 132, mc_sample: 10, mean reward: -5.211, std reward: 3.438
sample: 133, mc_sample: 10, mean reward: -4.18, std reward: 3.467
sample: 134, mc_sample: 10, mean reward: -4.447, std reward: 2.673
sample: 135, mc_sample: 10, mean reward: -3.075, std reward: 3.074
sample: 136, mc_sample: 10, mean reward: -2.679, std reward: 2.876
sample: 137, mc_sample: 10, mean reward: -3.848, std reward: 2.168
sample: 138, mc_sample: 10, mean reward: -3.399, std reward: 3.475
sample: 139, mc_sample: 10, mean reward: -4.376, std reward: 2.868
sample: 140, mc_sample: 10, mean reward: -2.44, std reward: 1.578
sample: 141, mc_sample: 10, mean reward: -3.162, std reward: 3.325
sample: 142, mc_sample: 10, mean reward: -3.687, std reward: 1.825
sample: 143, mc_sample: 10, mean reward: -3.5, std reward: 3.196
sample: 144, mc_sample: 10, mean reward: -2.954, std reward: 2.888
sample: 145, mc_sample: 10, mean reward: -4.133, std reward: 2.568
sample: 146, mc_sample: 10, mean reward: -3.969, std reward: 2.446
sample: 147, mc_sample: 10, mean reward: -3.452, std reward: 3.025
