sample: 94, mc_sample: 10, mean reward: -6.582, std reward: 4.452
sample: 95, mc_sample: 10, mean reward: -9.424, std reward: 2.336
sample: 96, mc_sample: 10, mean reward: -8.184, std reward: 5.092
sample: 97, mc_sample: 10, mean reward: -7.427, std reward: 1.951
sample: 98, mc_sample: 10, mean reward: -8.489, std reward: 3.533
sample: 99, mc_sample: 10, mean reward: -11.328, std reward: 3.077
sample: 100, mc_sample: 10, mean reward: -5.412, std reward: 3.703
sample: 101, mc_sample: 10, mean reward: -8.175, std reward: 3.233
sample: 102, mc_sample: 10, mean reward: -5.145, std reward: 2.423
sample: 103, mc_sample: 10, mean reward: -5.383, std reward: 2.094
sample: 104, mc_sample: 10, mean reward: -5.229, std reward: 2.216
sample: 105, mc_sample: 10, mean reward: -6.559, std reward: 4.673
sample: 106, mc_sample: 10, mean reward: -6.82, std reward: 3.402
sample: 107, mc_sample: 10, mean reward: -6.281, std reward: 4.149
sample: 108, mc_sample: 10, mean reward: -7.805, std reward: 3.028
sample: 109, mc_sample: 10, mean reward: -5.118, std reward: 2.272
sample: 110, mc_sample: 10, mean reward: -5.914, std reward: 3.997
sample: 111, mc_sample: 10, mean reward: -7.356, std reward: 4.213
sample: 112, mc_sample: 10, mean reward: -5.018, std reward: 2.967
sample: 113, mc_sample: 10, mean reward: -5.873, std reward: 3.476
sample: 114, mc_sample: 10, mean reward: -4.362, std reward: 3.118
sample: 115, mc_sample: 10, mean reward: -5.921, std reward: 2.688
sample: 116, mc_sample: 10, mean reward: -6.649, std reward: 3.491
sample: 117, mc_sample: 10, mean reward: -3.17, std reward: 1.488
sample: 118, mc_sample: 10, mean reward: -5.842, std reward: 3.445
sample: 119, mc_sample: 10, mean reward: -4.627, std reward: 3.935
sample: 120, mc_sample: 10, mean reward: -5.509, std reward: 2.887
sample: 121, mc_sample: 10, mean reward: -5.131, std reward: 2.951
sample: 122, mc_sample: 10, mean reward: -4.87, std reward: 3.896
sample: 123, mc_sample: 10, mean reward: -5.292, std reward: 4.029
sample: 124, mc_sample: 10, mean reward: -4.597, std reward: 2.529
sample: 125, mc_sample: 10, mean reward: -6.13, std reward: 3.052
