sample: 94, mc_sample: 10, mean reward: -109.856, std reward: 19.535
sample: 95, mc_sample: 10, mean reward: -107.485, std reward: 17.095
sample: 96, mc_sample: 10, mean reward: -273.71, std reward: 20.378
sample: 97, mc_sample: 10, mean reward: -100.635, std reward: 17.817
sample: 98, mc_sample: 10, mean reward: -104.048, std reward: 21.797
sample: 99, mc_sample: 10, mean reward: -278.708, std reward: 20.488
sample: 100, mc_sample: 10, mean reward: -99.585, std reward: 16.169
sample: 101, mc_sample: 10, mean reward: -103.374, std reward: 17.276
sample: 102, mc_sample: 10, mean reward: -277.767, std reward: 24.098
sample: 103, mc_sample: 10, mean reward: -79.737, std reward: 27.345
sample: 104, mc_sample: 10, mean reward: -296.31, std reward: 26.496
sample: 105, mc_sample: 10, mean reward: -90.622, std reward: 28.875
sample: 106, mc_sample: 10, mean reward: -289.776, std reward: 11.405
sample: 107, mc_sample: 10, mean reward: -85.848, std reward: 29.389
sample: 108, mc_sample: 10, mean reward: -81.05, std reward: 21.33
sample: 109, mc_sample: 10, mean reward: -295.664, std reward: 34.974
sample: 110, mc_sample: 10, mean reward: -297.453, std reward: 15.541
sample: 111, mc_sample: 10, mean reward: -70.296, std reward: 20.088
sample: 112, mc_sample: 10, mean reward: -72.169, std reward: 22.153
sample: 113, mc_sample: 10, mean reward: -82.833, std reward: 14.904
sample: 114, mc_sample: 10, mean reward: -89.203, std reward: 22.347
sample: 115, mc_sample: 10, mean reward: -288.242, std reward: 22.557
sample: 116, mc_sample: 10, mean reward: -76.911, std reward: 22.637
sample: 117, mc_sample: 10, mean reward: -291.6, std reward: 25.971
sample: 118, mc_sample: 10, mean reward: -291.998, std reward: 21.281
sample: 119, mc_sample: 10, mean reward: -299.919, std reward: 21.269
sample: 120, mc_sample: 10, mean reward: -296.086, std reward: 12.119
sample: 121, mc_sample: 10, mean reward: -292.689, std reward: 19.387
sample: 122, mc_sample: 10, mean reward: -73.252, std reward: 12.554
sample: 123, mc_sample: 10, mean reward: -73.921, std reward: 15.384
sample: 124, mc_sample: 10, mean reward: -87.308, std reward: 20.132
sample: 125, mc_sample: 10, mean reward: -70.833, std reward: 18.038
sample: 126, mc_sample: 10, mean reward: -66.238, std reward: 23.83
sample: 127, mc_sample: 10, mean reward: -295.482, std reward: 21.256
sample: 128, mc_sample: 10, mean reward: -305.58, std reward: 33.473
sample: 129, mc_sample: 10, mean reward: -295.96, std reward: 25.39
sample: 130, mc_sample: 10, mean reward: -293.482, std reward: 13.589
sample: 131, mc_sample: 10, mean reward: -80.654, std reward: 15.247
sample: 132, mc_sample: 10, mean reward: -92.435, std reward: 17.496
sample: 133, mc_sample: 10, mean reward: -290.151, std reward: 26.938
sample: 134, mc_sample: 10, mean reward: -289.171, std reward: 29.411
sample: 135, mc_sample: 10, mean reward: -288.421, std reward: 15.321
sample: 136, mc_sample: 10, mean reward: -79.691, std reward: 19.286
sample: 137, mc_sample: 10, mean reward: -96.976, std reward: 18.321
sample: 138, mc_sample: 10, mean reward: -286.071, std reward: 29.351
sample: 139, mc_sample: 10, mean reward: -290.839, std reward: 15.101
sample: 140, mc_sample: 10, mean reward: -277.181, std reward: 21.759
sample: 141, mc_sample: 10, mean reward: -286.033, std reward: 31.911
sample: 142, mc_sample: 10, mean reward: -272.777, std reward: 16.392
sample: 143, mc_sample: 10, mean reward: -278.189, std reward: 23.324
sample: 144, mc_sample: 10, mean reward: -100.798, std reward: 29.125
sample: 145, mc_sample: 10, mean reward: -269.397, std reward: 16.952
sample: 146, mc_sample: 10, mean reward: -87.848, std reward: 21.555
sample: 147, mc_sample: 10, mean reward: -103.5, std reward: 22.915
sample: 148, mc_sample: 10, mean reward: -268.703, std reward: 18.71
sample: 149, mc_sample: 10, mean reward: -281.927, std reward: 20.16
sample: 150, mc_sample: 10, mean reward: -99.967, std reward: 21.092
sample: 151, mc_sample: 10, mean reward: -271.846, std reward: 22.396
sample: 152, mc_sample: 10, mean reward: -96.996, std reward: 25.907
sample: 153, mc_sample: 10, mean reward: -102.743, std reward: 28.043
sample: 154, mc_sample: 10, mean reward: -101.531, std reward: 23.219
sample: 155, mc_sample: 10, mean reward: -284.337, std reward: 24.37
sample: 156, mc_sample: 10, mean reward: -110.519, std reward: 34.458
sample: 157, mc_sample: 10, mean reward: -114.311, std reward: 22.868
sample: 158, mc_sample: 10, mean reward: -95.247, std reward: 25.565
sample: 159, mc_sample: 10, mean reward: -93.213, std reward: 23.565
sample: 160, mc_sample: 10, mean reward: -285.796, std reward: 20.243
sample: 161, mc_sample: 10, mean reward: -295.036, std reward: 18.514
sample: 162, mc_sample: 10, mean reward: -106.651, std reward: 26.671
sample: 163, mc_sample: 10, mean reward: -100.692, std reward: 16.543
sample: 164, mc_sample: 10, mean reward: -274.489, std reward: 24.508
sample: 165, mc_sample: 10, mean reward: -93.562, std reward: 17.178
sample: 166, mc_sample: 10, mean reward: -100.334, std reward: 36.028
sample: 167, mc_sample: 10, mean reward: -102.334, std reward: 27.242
sample: 168, mc_sample: 10, mean reward: -91.986, std reward: 19.253
sample: 169, mc_sample: 10, mean reward: -281.591, std reward: 21.36
sample: 170, mc_sample: 10, mean reward: -84.853, std reward: 27.506
sample: 171, mc_sample: 10, mean reward: -105.962, std reward: 22.418
sample: 172, mc_sample: 10, mean reward: -92.318, std reward: 20.79
sample: 173, mc_sample: 10, mean reward: -100.887, std reward: 35.55
sample: 174, mc_sample: 10, mean reward: -95.292, std reward: 29.805
sample: 175, mc_sample: 10, mean reward: -293.145, std reward: 21.98
sample: 176, mc_sample: 10, mean reward: -102.932, std reward: 20.673
sample: 177, mc_sample: 10, mean reward: -286.797, std reward: 18.814
sample: 178, mc_sample: 10, mean reward: -300.764, std reward: 20.808
sample: 179, mc_sample: 10, mean reward: -82.341, std reward: 33.303
sample: 180, mc_sample: 10, mean reward: -85.791, std reward: 26.763
sample: 181, mc_sample: 10, mean reward: -303.922, std reward: 20.401
sample: 182, mc_sample: 10, mean reward: -64.744, std reward: 35.259
sample: 183, mc_sample: 10, mean reward: -73.484, std reward: 26.667
sample: 184, mc_sample: 10, mean reward: -301.012, std reward: 25.265
sample: 185, mc_sample: 10, mean reward: -295.942, std reward: 30.533
sample: 186, mc_sample: 10, mean reward: -75.217, std reward: 21.142
sample: 187, mc_sample: 10, mean reward: -297.905, std reward: 18.208
sample: 188, mc_sample: 10, mean reward: -282.672, std reward: 22.296
sample: 189, mc_sample: 10, mean reward: -108.502, std reward: 28.484
sample: 190, mc_sample: 10, mean reward: -290.754, std reward: 21.809
sample: 191, mc_sample: 10, mean reward: -93.778, std reward: 22.632
sample: 192, mc_sample: 10, mean reward: -289.78, std reward: 16.616
sample: 193, mc_sample: 10, mean reward: -107.285, std reward: 17.361
sample: 194, mc_sample: 10, mean reward: -291.039, std reward: 18.87
sample: 195, mc_sample: 10, mean reward: -291.161, std reward: 21.563
sample: 196, mc_sample: 10, mean reward: -113.004, std reward: 33.864
sample: 197, mc_sample: 10, mean reward: -100.822, std reward: 26.488
sample: 198, mc_sample: 10, mean reward: -291.17, std reward: 20.663
sample: 199, mc_sample: 10, mean reward: -104.256, std reward: 24.315
sample: 200, mc_sample: 10, mean reward: -274.687, std reward: 21.791
sample: 201, mc_sample: 10, mean reward: -286.397, std reward: 20.58
sample: 202, mc_sample: 10, mean reward: -279.305, std reward: 19.812
sample: 203, mc_sample: 10, mean reward: -111.571, std reward: 15.972
sample: 204, mc_sample: 10, mean reward: -117.194, std reward: 24.985
sample: 205, mc_sample: 10, mean reward: -113.08, std reward: 24.102
sample: 206, mc_sample: 10, mean reward: -274.725, std reward: 15.059
sample: 207, mc_sample: 10, mean reward: -113.945, std reward: 19.493
sample: 208, mc_sample: 10, mean reward: -283.268, std reward: 20.073
sample: 209, mc_sample: 10, mean reward: -120.686, std reward: 27.812
sample: 210, mc_sample: 10, mean reward: -281.634, std reward: 14.055
sample: 211, mc_sample: 10, mean reward: -112.423, std reward: 25.023
sample: 212, mc_sample: 10, mean reward: -113.471, std reward: 20.967
sample: 213, mc_sample: 10, mean reward: -115.016, std reward: 21.77
sample: 214, mc_sample: 10, mean reward: -274.988, std reward: 24.943
sample: 215, mc_sample: 10, mean reward: -112.037, std reward: 28.309
sample: 216, mc_sample: 10, mean reward: -117.377, std reward: 11.163
sample: 217, mc_sample: 10, mean reward: -125.124, std reward: 24.264
sample: 218, mc_sample: 10, mean reward: -110.548, std reward: 20.996
sample: 219, mc_sample: 10, mean reward: -274.55, std reward: 21.012
sample: 220, mc_sample: 10, mean reward: -282.688, std reward: 24.197
sample: 221, mc_sample: 10, mean reward: -283.007, std reward: 25.425
sample: 222, mc_sample: 10, mean reward: -119.343, std reward: 29.251
sample: 223, mc_sample: 10, mean reward: -122.236, std reward: 17.533
sample: 224, mc_sample: 10, mean reward: -121.297, std reward: 13.869
sample: 225, mc_sample: 10, mean reward: -272.324, std reward: 27.629
sample: 226, mc_sample: 10, mean reward: -275.93, std reward: 20.649
sample: 227, mc_sample: 10, mean reward: -117.673, std reward: 24.369
sample: 228, mc_sample: 10, mean reward: -129.704, std reward: 22.803
sample: 229, mc_sample: 10, mean reward: -264.182, std reward: 16.075
sample: 230, mc_sample: 10, mean reward: -279.597, std reward: 17.907
sample: 231, mc_sample: 10, mean reward: -276.54, std reward: 18.591
sample: 232, mc_sample: 10, mean reward: -130.429, std reward: 13.356
sample: 233, mc_sample: 10, mean reward: -112.83, std reward: 17.074
sample: 234, mc_sample: 10, mean reward: -276.972, std reward: 24.969
sample: 235, mc_sample: 10, mean reward: -269.295, std reward: 21.35
sample: 236, mc_sample: 10, mean reward: -114.414, std reward: 15.491
sample: 237, mc_sample: 10, mean reward: -274.019, std reward: 22.597
sample: 238, mc_sample: 10, mean reward: -125.648, std reward: 17.101
sample: 239, mc_sample: 10, mean reward: -268.26, std reward: 30.629
sample: 240, mc_sample: 10, mean reward: -139.313, std reward: 26.256
sample: 241, mc_sample: 10, mean reward: -283.581, std reward: 28.241
sample: 242, mc_sample: 10, mean reward: -124.379, std reward: 28.413
sample: 243, mc_sample: 10, mean reward: -271.042, std reward: 19.099
sample: 244, mc_sample: 10, mean reward: -130.166, std reward: 15.86
sample: 245, mc_sample: 10, mean reward: -277.126, std reward: 17.203
sample: 246, mc_sample: 10, mean reward: -129.527, std reward: 22.054
sample: 247, mc_sample: 10, mean reward: -124.332, std reward: 18.687
sample: 248, mc_sample: 10, mean reward: -285.393, std reward: 21.342
sample: 249, mc_sample: 10, mean reward: -123.091, std reward: 21.513
sample: 250, mc_sample: 10, mean reward: -273.567, std reward: 22.453
sample: 251, mc_sample: 10, mean reward: -268.351, std reward: 18.964
sample: 252, mc_sample: 10, mean reward: -132.218, std reward: 12.48
sample: 253, mc_sample: 10, mean reward: -272.524, std reward: 14.096
sample: 254, mc_sample: 10, mean reward: -126.793, std reward: 18.795
sample: 255, mc_sample: 10, mean reward: -120.338, std reward: 24.191
sample: 256, mc_sample: 10, mean reward: -277.337, std reward: 15.569
sample: 257, mc_sample: 10, mean reward: -295.815, std reward: 25.869
sample: 258, mc_sample: 10, mean reward: -133.454, std reward: 23.774
sample: 259, mc_sample: 10, mean reward: -113.664, std reward: 23.695
sample: 260, mc_sample: 10, mean reward: -295.78, std reward: 16.074
sample: 261, mc_sample: 10, mean reward: -123.765, std reward: 17.477
sample: 262, mc_sample: 10, mean reward: -271.617, std reward: 24.346
sample: 263, mc_sample: 10, mean reward: -283.651, std reward: 26.511
sample: 264, mc_sample: 10, mean reward: -123.681, std reward: 17.293
sample: 265, mc_sample: 10, mean reward: -287.666, std reward: 24.235
sample: 266, mc_sample: 10, mean reward: -129.317, std reward: 22.026
sample: 267, mc_sample: 10, mean reward: -268.475, std reward: 21.917
sample: 268, mc_sample: 10, mean reward: -290.871, std reward: 23.602
sample: 269, mc_sample: 10, mean reward: -274.14, std reward: 18.947
sample: 270, mc_sample: 10, mean reward: -133.262, std reward: 27.775
sample: 271, mc_sample: 10, mean reward: -279.436, std reward: 21.418
sample: 272, mc_sample: 10, mean reward: -279.428, std reward: 31.674
sample: 273, mc_sample: 10, mean reward: -289.565, std reward: 23.36
sample: 274, mc_sample: 10, mean reward: -284.465, std reward: 30.266
sample: 275, mc_sample: 10, mean reward: -278.167, std reward: 21.514
sample: 276, mc_sample: 10, mean reward: -272.412, std reward: 22.559
sample: 277, mc_sample: 10, mean reward: -123.295, std reward: 11.4
sample: 278, mc_sample: 10, mean reward: -130.44, std reward: 22.022
sample: 279, mc_sample: 10, mean reward: -129.574, std reward: 15.825
sample: 280, mc_sample: 10, mean reward: -143.547, std reward: 24.104
sample: 281, mc_sample: 10, mean reward: -125.427, std reward: 16.208
sample: 282, mc_sample: 10, mean reward: -126.491, std reward: 20.535
