sample: 94, mc_sample: 10, mean reward: 24.508, std reward: 0.982
sample: 95, mc_sample: 10, mean reward: 20.817, std reward: 0.431
sample: 96, mc_sample: 10, mean reward: 14.702, std reward: 1.661
sample: 97, mc_sample: 10, mean reward: 25.86, std reward: 0.612
sample: 98, mc_sample: 10, mean reward: -2.29, std reward: 1.86
sample: 99, mc_sample: 10, mean reward: 2.962, std reward: 2.166
sample: 100, mc_sample: 10, mean reward: 28.266, std reward: 0.713
sample: 101, mc_sample: 10, mean reward: 19.74, std reward: 1.815
sample: 102, mc_sample: 10, mean reward: 1.072, std reward: 2.092
sample: 103, mc_sample: 10, mean reward: 19.881, std reward: 1.571
sample: 104, mc_sample: 10, mean reward: 6.167, std reward: 1.477
sample: 105, mc_sample: 10, mean reward: 19.827, std reward: 0.997
sample: 106, mc_sample: 10, mean reward: 10.816, std reward: 1.882
sample: 107, mc_sample: 10, mean reward: 8.604, std reward: 1.843
sample: 108, mc_sample: 10, mean reward: 24.492, std reward: 1.203
sample: 109, mc_sample: 10, mean reward: 0.041, std reward: 2.733
sample: 110, mc_sample: 10, mean reward: 29.437, std reward: 0.741
sample: 111, mc_sample: 10, mean reward: 13.654, std reward: 2.369
sample: 112, mc_sample: 10, mean reward: 29.09, std reward: 0.824
sample: 113, mc_sample: 10, mean reward: 29.163, std reward: 0.477
sample: 114, mc_sample: 10, mean reward: 19.376, std reward: 1.384
sample: 115, mc_sample: 10, mean reward: 29.787, std reward: 0.307
sample: 116, mc_sample: 10, mean reward: 13.124, std reward: 2.284
sample: 117, mc_sample: 10, mean reward: 17.231, std reward: 0.921
sample: 118, mc_sample: 10, mean reward: 29.459, std reward: 0.44
sample: 119, mc_sample: 10, mean reward: 13.549, std reward: 1.006
sample: 120, mc_sample: 10, mean reward: 28.337, std reward: 0.774
sample: 121, mc_sample: 10, mean reward: 27.068, std reward: 0.629
sample: 122, mc_sample: 10, mean reward: 1.149, std reward: 2.761
sample: 123, mc_sample: 10, mean reward: 10.695, std reward: 1.261
sample: 124, mc_sample: 10, mean reward: 27.814, std reward: 0.948
sample: 125, mc_sample: 10, mean reward: 18.573, std reward: 2.16
sample: 126, mc_sample: 10, mean reward: 19.545, std reward: 1.917
sample: 127, mc_sample: 10, mean reward: 14.398, std reward: 1.119
sample: 128, mc_sample: 10, mean reward: 7.552, std reward: 2.747
sample: 129, mc_sample: 10, mean reward: 9.465, std reward: 2.147
sample: 130, mc_sample: 10, mean reward: 26.968, std reward: 0.781
sample: 131, mc_sample: 10, mean reward: 25.612, std reward: 1.869
sample: 132, mc_sample: 10, mean reward: 19.624, std reward: 1.637
sample: 133, mc_sample: 10, mean reward: 30.273, std reward: 0.503
sample: 134, mc_sample: 10, mean reward: 20.724, std reward: 1.192
sample: 135, mc_sample: 10, mean reward: 27.78, std reward: 1.296
