sample: 0, mc_sample: 1, mean reward: -35.644, std reward: 0.0
sample: 1, mc_sample: 1, mean reward: -26.338, std reward: 0.0
sample: 2, mc_sample: 1, mean reward: -44.281, std reward: 0.0
sample: 3, mc_sample: 1, mean reward: -19.681, std reward: 0.0
sample: 4, mc_sample: 1, mean reward: -35.986, std reward: 0.0
sample: 5, mc_sample: 1, mean reward: -18.906, std reward: 0.0
sample: 6, mc_sample: 1, mean reward: -18.822, std reward: 0.0
sample: 7, mc_sample: 1, mean reward: -18.066, std reward: 0.0
sample: 8, mc_sample: 1, mean reward: -11.712, std reward: 0.0
sample: 9, mc_sample: 1, mean reward: -24.222, std reward: 0.0
sample: 10, mc_sample: 1, mean reward: -37.55, std reward: 0.0
sample: 11, mc_sample: 1, mean reward: -31.225, std reward: 0.0
sample: 12, mc_sample: 1, mean reward: -41.782, std reward: 0.0
sample: 13, mc_sample: 1, mean reward: -31.487, std reward: 0.0
sample: 14, mc_sample: 1, mean reward: -28.303, std reward: 0.0
sample: 15, mc_sample: 1, mean reward: -17.86, std reward: 0.0
sample: 16, mc_sample: 1, mean reward: -14.418, std reward: 0.0
sample: 17, mc_sample: 1, mean reward: -16.613, std reward: 0.0
sample: 18, mc_sample: 1, mean reward: -9.248, std reward: 0.0
sample: 19, mc_sample: 1, mean reward: -17.412, std reward: 0.0
sample: 20, mc_sample: 1, mean reward: -41.142, std reward: 0.0
sample: 21, mc_sample: 1, mean reward: -25.247, std reward: 0.0
sample: 22, mc_sample: 1, mean reward: -18.988, std reward: 0.0
sample: 23, mc_sample: 1, mean reward: -9.058, std reward: 0.0
sample: 24, mc_sample: 1, mean reward: -22.281, std reward: 0.0
sample: 25, mc_sample: 1, mean reward: -13.644, std reward: 0.0
sample: 26, mc_sample: 1, mean reward: -32.483, std reward: 0.0
sample: 27, mc_sample: 1, mean reward: -13.416, std reward: 0.0
sample: 28, mc_sample: 1, mean reward: -24.554, std reward: 0.0
sample: 29, mc_sample: 1, mean reward: -46.504, std reward: 0.0
sample: 30, mc_sample: 1, mean reward: -12.079, std reward: 0.0
sample: 31, mc_sample: 1, mean reward: -18.852, std reward: 0.0
sample: 32, mc_sample: 1, mean reward: -29.618, std reward: 0.0
sample: 33, mc_sample: 1, mean reward: -24.988, std reward: 0.0
sample: 34, mc_sample: 1, mean reward: -25.097, std reward: 0.0
sample: 35, mc_sample: 1, mean reward: -13.692, std reward: 0.0
sample: 36, mc_sample: 1, mean reward: -19.325, std reward: 0.0
sample: 37, mc_sample: 1, mean reward: -30.005, std reward: 0.0
sample: 38, mc_sample: 1, mean reward: -17.929, std reward: 0.0
sample: 39, mc_sample: 1, mean reward: -6.896, std reward: 0.0
sample: 40, mc_sample: 1, mean reward: -24.074, std reward: 0.0
sample: 41, mc_sample: 1, mean reward: -28.853, std reward: 0.0
sample: 42, mc_sample: 1, mean reward: -13.788, std reward: 0.0
sample: 43, mc_sample: 1, mean reward: -28.89, std reward: 0.0
sample: 44, mc_sample: 1, mean reward: -31.813, std reward: 0.0
sample: 45, mc_sample: 1, mean reward: -14.735, std reward: 0.0
sample: 46, mc_sample: 1, mean reward: -38.617, std reward: 0.0
sample: 47, mc_sample: 1, mean reward: -15.021, std reward: 0.0
sample: 48, mc_sample: 1, mean reward: -6.847, std reward: 0.0
sample: 49, mc_sample: 1, mean reward: -21.716, std reward: 0.0
sample: 50, mc_sample: 1, mean reward: -15.487, std reward: 0.0
sample: 51, mc_sample: 1, mean reward: -40.221, std reward: 0.0
sample: 52, mc_sample: 1, mean reward: -43.807, std reward: 0.0
sample: 53, mc_sample: 1, mean reward: -17.978, std reward: 0.0
sample: 54, mc_sample: 1, mean reward: -10.111, std reward: 0.0
sample: 55, mc_sample: 1, mean reward: -26.096, std reward: 0.0
sample: 56, mc_sample: 1, mean reward: -15.507, std reward: 0.0
sample: 57, mc_sample: 1, mean reward: -13.779, std reward: 0.0
sample: 58, mc_sample: 1, mean reward: -15.937, std reward: 0.0
sample: 59, mc_sample: 1, mean reward: -7.922, std reward: 0.0
sample: 60, mc_sample: 1, mean reward: -21.863, std reward: 0.0
sample: 61, mc_sample: 1, mean reward: -47.374, std reward: 0.0
sample: 62, mc_sample: 1, mean reward: -13.33, std reward: 0.0
sample: 63, mc_sample: 1, mean reward: -37.941, std reward: 0.0
sample: 64, mc_sample: 1, mean reward: -11.675, std reward: 0.0
sample: 65, mc_sample: 1, mean reward: -26.318, std reward: 0.0
sample: 66, mc_sample: 1, mean reward: -21.009, std reward: 0.0
sample: 67, mc_sample: 1, mean reward: -30.068, std reward: 0.0
sample: 68, mc_sample: 1, mean reward: -34.908, std reward: 0.0
sample: 69, mc_sample: 1, mean reward: -14.098, std reward: 0.0
sample: 70, mc_sample: 1, mean reward: -20.212, std reward: 0.0
sample: 71, mc_sample: 1, mean reward: -37.492, std reward: 0.0
sample: 72, mc_sample: 1, mean reward: -29.609, std reward: 0.0
sample: 73, mc_sample: 1, mean reward: -40.479, std reward: 0.0
sample: 74, mc_sample: 1, mean reward: -26.599, std reward: 0.0
sample: 75, mc_sample: 1, mean reward: -16.781, std reward: 0.0
sample: 76, mc_sample: 1, mean reward: -23.217, std reward: 0.0
sample: 77, mc_sample: 1, mean reward: -20.066, std reward: 0.0
sample: 78, mc_sample: 1, mean reward: -7.324, std reward: 0.0
sample: 79, mc_sample: 1, mean reward: -30.324, std reward: 0.0
sample: 80, mc_sample: 1, mean reward: -15.311, std reward: 0.0
sample: 81, mc_sample: 1, mean reward: -18.693, std reward: 0.0
sample: 82, mc_sample: 1, mean reward: -26.121, std reward: 0.0
sample: 83, mc_sample: 1, mean reward: -34.184, std reward: 0.0
sample: 84, mc_sample: 1, mean reward: -19.7, std reward: 0.0
sample: 85, mc_sample: 1, mean reward: -39.069, std reward: 0.0
sample: 86, mc_sample: 1, mean reward: -16.457, std reward: 0.0
sample: 87, mc_sample: 1, mean reward: -39.371, std reward: 0.0
sample: 88, mc_sample: 1, mean reward: -28.216, std reward: 0.0
sample: 89, mc_sample: 1, mean reward: -15.405, std reward: 0.0
sample: 90, mc_sample: 1, mean reward: -24.525, std reward: 0.0
sample: 91, mc_sample: 1, mean reward: -24.273, std reward: 0.0
sample: 92, mc_sample: 1, mean reward: -19.558, std reward: 0.0
sample: 93, mc_sample: 1, mean reward: -17.848, std reward: 0.0
sample: 94, mc_sample: 1, mean reward: -19.066, std reward: 0.0
sample: 95, mc_sample: 1, mean reward: -11.161, std reward: 0.0
sample: 96, mc_sample: 1, mean reward: -23.749, std reward: 0.0
sample: 97, mc_sample: 1, mean reward: -12.482, std reward: 0.0
sample: 98, mc_sample: 1, mean reward: -15.273, std reward: 0.0
sample: 99, mc_sample: 1, mean reward: -24.002, std reward: 0.0
sample: 100, mc_sample: 1, mean reward: -15.105, std reward: 0.0
sample: 101, mc_sample: 1, mean reward: -29.588, std reward: 0.0
sample: 102, mc_sample: 1, mean reward: -9.677, std reward: 0.0
sample: 103, mc_sample: 1, mean reward: -12.072, std reward: 0.0
sample: 104, mc_sample: 1, mean reward: -12.479, std reward: 0.0
sample: 105, mc_sample: 1, mean reward: -17.284, std reward: 0.0
sample: 106, mc_sample: 1, mean reward: -17.165, std reward: 0.0
sample: 107, mc_sample: 1, mean reward: -22.102, std reward: 0.0
sample: 108, mc_sample: 1, mean reward: -18.088, std reward: 0.0
sample: 109, mc_sample: 1, mean reward: -7.494, std reward: 0.0
sample: 110, mc_sample: 1, mean reward: -14.481, std reward: 0.0
sample: 111, mc_sample: 1, mean reward: -22.5, std reward: 0.0
sample: 112, mc_sample: 1, mean reward: -19.546, std reward: 0.0
sample: 113, mc_sample: 1, mean reward: -20.48, std reward: 0.0
sample: 114, mc_sample: 1, mean reward: -11.334, std reward: 0.0
sample: 115, mc_sample: 1, mean reward: -16.665, std reward: 0.0
sample: 116, mc_sample: 1, mean reward: -16.081, std reward: 0.0
sample: 117, mc_sample: 1, mean reward: -27.574, std reward: 0.0
sample: 118, mc_sample: 1, mean reward: -35.081, std reward: 0.0
sample: 119, mc_sample: 1, mean reward: -12.528, std reward: 0.0
sample: 120, mc_sample: 1, mean reward: -18.191, std reward: 0.0
sample: 121, mc_sample: 1, mean reward: -26.478, std reward: 0.0
sample: 122, mc_sample: 1, mean reward: -23.235, std reward: 0.0
sample: 123, mc_sample: 1, mean reward: -9.169, std reward: 0.0
sample: 124, mc_sample: 1, mean reward: -49.629, std reward: 0.0
sample: 125, mc_sample: 1, mean reward: -18.645, std reward: 0.0
sample: 126, mc_sample: 1, mean reward: -30.482, std reward: 0.0
sample: 127, mc_sample: 1, mean reward: -9.173, std reward: 0.0
sample: 128, mc_sample: 1, mean reward: -24.894, std reward: 0.0
sample: 129, mc_sample: 1, mean reward: -16.378, std reward: 0.0
sample: 130, mc_sample: 1, mean reward: -23.685, std reward: 0.0
sample: 131, mc_sample: 1, mean reward: -13.79, std reward: 0.0
sample: 132, mc_sample: 1, mean reward: -18.13, std reward: 0.0
