sample: 94, mc_sample: 10, mean reward: -396.431, std reward: 13.111
sample: 95, mc_sample: 10, mean reward: -404.612, std reward: 26.19
sample: 96, mc_sample: 10, mean reward: 20.368, std reward: 16.191
sample: 97, mc_sample: 10, mean reward: -409.314, std reward: 26.589
sample: 98, mc_sample: 10, mean reward: -390.82, std reward: 19.54
sample: 99, mc_sample: 10, mean reward: 22.768, std reward: 26.9
sample: 100, mc_sample: 10, mean reward: -16.438, std reward: 27.283
sample: 101, mc_sample: 10, mean reward: -6.145, std reward: 30.803
sample: 102, mc_sample: 10, mean reward: 1.495, std reward: 27.132
sample: 103, mc_sample: 10, mean reward: -1.082, std reward: 32.626
sample: 104, mc_sample: 10, mean reward: -388.048, std reward: 24.83
sample: 105, mc_sample: 10, mean reward: -12.921, std reward: 24.134
sample: 106, mc_sample: 10, mean reward: -388.294, std reward: 24.113
sample: 107, mc_sample: 10, mean reward: -2.321, std reward: 19.515
sample: 108, mc_sample: 10, mean reward: -3.99, std reward: 28.122
sample: 109, mc_sample: 10, mean reward: -0.719, std reward: 14.607
sample: 110, mc_sample: 10, mean reward: -25.072, std reward: 22.357
sample: 111, mc_sample: 10, mean reward: -372.771, std reward: 20.487
sample: 112, mc_sample: 10, mean reward: -23.845, std reward: 17.288
sample: 113, mc_sample: 10, mean reward: -393.41, std reward: 16.697
sample: 114, mc_sample: 10, mean reward: -381.993, std reward: 20.005
sample: 115, mc_sample: 10, mean reward: -383.856, std reward: 22.061
sample: 116, mc_sample: 10, mean reward: -14.148, std reward: 24.4
sample: 117, mc_sample: 10, mean reward: -371.669, std reward: 26.477
sample: 118, mc_sample: 10, mean reward: -0.421, std reward: 23.097
sample: 119, mc_sample: 10, mean reward: -11.005, std reward: 20.315
sample: 120, mc_sample: 10, mean reward: -12.14, std reward: 22.486
sample: 121, mc_sample: 10, mean reward: 1.369, std reward: 30.893
sample: 122, mc_sample: 10, mean reward: 6.709, std reward: 20.154
sample: 123, mc_sample: 10, mean reward: -399.916, std reward: 25.782
sample: 124, mc_sample: 10, mean reward: 0.429, std reward: 20.618
sample: 125, mc_sample: 10, mean reward: -10.079, std reward: 26.665
sample: 126, mc_sample: 10, mean reward: -384.173, std reward: 21.136
sample: 127, mc_sample: 10, mean reward: -2.899, std reward: 29.711
sample: 128, mc_sample: 10, mean reward: 5.177, std reward: 20.708
sample: 129, mc_sample: 10, mean reward: -10.529, std reward: 22.67
sample: 130, mc_sample: 10, mean reward: 30.344, std reward: 34.892
sample: 131, mc_sample: 10, mean reward: -403.889, std reward: 18.275
sample: 132, mc_sample: 10, mean reward: 7.803, std reward: 30.855
sample: 133, mc_sample: 10, mean reward: 0.617, std reward: 29.996
sample: 134, mc_sample: 10, mean reward: -428.305, std reward: 30.784
sample: 135, mc_sample: 10, mean reward: 29.41, std reward: 31.533
sample: 136, mc_sample: 10, mean reward: -412.317, std reward: 37.358
sample: 137, mc_sample: 10, mean reward: 15.27, std reward: 17.23
sample: 138, mc_sample: 10, mean reward: 27.513, std reward: 28.175
sample: 139, mc_sample: 10, mean reward: -410.0, std reward: 22.531
sample: 140, mc_sample: 10, mean reward: -421.013, std reward: 31.592
sample: 141, mc_sample: 10, mean reward: 57.768, std reward: 24.559
sample: 142, mc_sample: 10, mean reward: -441.712, std reward: 25.489
sample: 143, mc_sample: 10, mean reward: 35.109, std reward: 27.055
sample: 144, mc_sample: 10, mean reward: 45.658, std reward: 26.26
sample: 145, mc_sample: 10, mean reward: 38.026, std reward: 28.31
sample: 146, mc_sample: 10, mean reward: -447.375, std reward: 32.66
sample: 147, mc_sample: 10, mean reward: -448.582, std reward: 20.598
sample: 148, mc_sample: 10, mean reward: -434.939, std reward: 25.047
sample: 149, mc_sample: 10, mean reward: 38.587, std reward: 39.189
sample: 150, mc_sample: 10, mean reward: 39.32, std reward: 26.571
sample: 151, mc_sample: 10, mean reward: -448.481, std reward: 24.341
sample: 152, mc_sample: 10, mean reward: -445.722, std reward: 16.824
sample: 153, mc_sample: 10, mean reward: -434.369, std reward: 38.76
sample: 154, mc_sample: 10, mean reward: -458.787, std reward: 19.689
sample: 155, mc_sample: 10, mean reward: 76.642, std reward: 24.338
sample: 156, mc_sample: 10, mean reward: 49.847, std reward: 33.28
sample: 157, mc_sample: 10, mean reward: 68.819, std reward: 23.453
sample: 158, mc_sample: 10, mean reward: 65.908, std reward: 24.939
sample: 159, mc_sample: 10, mean reward: 53.91, std reward: 29.129
sample: 160, mc_sample: 10, mean reward: -448.675, std reward: 23.933
sample: 161, mc_sample: 10, mean reward: 56.81, std reward: 21.227
sample: 162, mc_sample: 10, mean reward: 50.933, std reward: 24.68
sample: 163, mc_sample: 10, mean reward: 58.234, std reward: 23.462
sample: 164, mc_sample: 10, mean reward: 67.293, std reward: 25.035
sample: 165, mc_sample: 10, mean reward: -457.188, std reward: 35.297
sample: 166, mc_sample: 10, mean reward: -454.598, std reward: 37.317
sample: 167, mc_sample: 10, mean reward: -455.486, std reward: 22.252
sample: 168, mc_sample: 10, mean reward: 63.276, std reward: 33.001
sample: 169, mc_sample: 10, mean reward: -460.66, std reward: 19.526
sample: 170, mc_sample: 10, mean reward: 66.049, std reward: 29.607
sample: 171, mc_sample: 10, mean reward: -466.884, std reward: 29.754
sample: 172, mc_sample: 10, mean reward: -461.633, std reward: 38.883
sample: 173, mc_sample: 10, mean reward: -472.079, std reward: 28.111
sample: 174, mc_sample: 10, mean reward: -470.445, std reward: 31.547
sample: 175, mc_sample: 10, mean reward: 60.225, std reward: 27.397
sample: 176, mc_sample: 10, mean reward: 45.772, std reward: 19.986
sample: 177, mc_sample: 10, mean reward: 60.034, std reward: 36.549
sample: 178, mc_sample: 10, mean reward: 70.092, std reward: 18.982
sample: 179, mc_sample: 10, mean reward: 76.323, std reward: 18.76
sample: 180, mc_sample: 10, mean reward: 59.591, std reward: 33.889
sample: 181, mc_sample: 10, mean reward: 36.433, std reward: 22.65
sample: 182, mc_sample: 10, mean reward: 65.4, std reward: 26.313
sample: 183, mc_sample: 10, mean reward: 58.672, std reward: 24.955
sample: 184, mc_sample: 10, mean reward: 42.063, std reward: 25.441
sample: 185, mc_sample: 10, mean reward: -448.321, std reward: 15.965
sample: 186, mc_sample: 10, mean reward: 55.969, std reward: 26.672
sample: 187, mc_sample: 10, mean reward: 56.112, std reward: 28.5
sample: 188, mc_sample: 10, mean reward: 61.204, std reward: 22.35
sample: 189, mc_sample: 10, mean reward: -459.594, std reward: 26.788
sample: 190, mc_sample: 10, mean reward: -466.078, std reward: 33.357
sample: 191, mc_sample: 10, mean reward: 77.559, std reward: 30.844
sample: 192, mc_sample: 10, mean reward: -452.819, std reward: 32.236
sample: 193, mc_sample: 10, mean reward: -476.579, std reward: 27.349
sample: 194, mc_sample: 10, mean reward: 65.749, std reward: 22.433
sample: 195, mc_sample: 10, mean reward: 63.809, std reward: 14.78
sample: 196, mc_sample: 10, mean reward: -450.681, std reward: 29.494
sample: 197, mc_sample: 10, mean reward: 61.569, std reward: 28.575
sample: 198, mc_sample: 10, mean reward: 57.215, std reward: 26.313
sample: 199, mc_sample: 10, mean reward: 59.798, std reward: 27.329
sample: 200, mc_sample: 10, mean reward: 83.035, std reward: 27.676
sample: 201, mc_sample: 10, mean reward: -475.982, std reward: 27.305
sample: 202, mc_sample: 10, mean reward: 80.718, std reward: 22.03
sample: 203, mc_sample: 10, mean reward: 71.848, std reward: 33.277
sample: 204, mc_sample: 10, mean reward: -472.545, std reward: 30.81
sample: 205, mc_sample: 10, mean reward: 63.224, std reward: 15.306
sample: 206, mc_sample: 10, mean reward: -467.767, std reward: 19.06
sample: 207, mc_sample: 10, mean reward: -460.547, std reward: 19.153
sample: 208, mc_sample: 10, mean reward: -465.869, std reward: 30.765
sample: 209, mc_sample: 10, mean reward: 80.771, std reward: 16.572
sample: 210, mc_sample: 10, mean reward: -460.053, std reward: 20.334
sample: 211, mc_sample: 10, mean reward: 71.174, std reward: 27.414
sample: 212, mc_sample: 10, mean reward: -438.702, std reward: 30.669
sample: 213, mc_sample: 10, mean reward: -459.987, std reward: 21.202
sample: 214, mc_sample: 10, mean reward: 73.527, std reward: 23.521
sample: 215, mc_sample: 10, mean reward: -455.709, std reward: 20.862
sample: 216, mc_sample: 10, mean reward: 52.458, std reward: 30.863
sample: 217, mc_sample: 10, mean reward: -461.75, std reward: 16.103
sample: 218, mc_sample: 10, mean reward: -463.588, std reward: 20.446
sample: 219, mc_sample: 10, mean reward: 74.082, std reward: 32.438
sample: 220, mc_sample: 10, mean reward: -435.52, std reward: 24.833
sample: 221, mc_sample: 10, mean reward: 26.748, std reward: 12.81
sample: 222, mc_sample: 10, mean reward: -449.733, std reward: 35.843
sample: 223, mc_sample: 10, mean reward: -422.606, std reward: 30.554
sample: 224, mc_sample: 10, mean reward: 50.264, std reward: 29.625
sample: 225, mc_sample: 10, mean reward: 39.913, std reward: 24.304
sample: 226, mc_sample: 10, mean reward: 40.731, std reward: 18.892
sample: 227, mc_sample: 10, mean reward: -434.867, std reward: 23.423
sample: 228, mc_sample: 10, mean reward: 35.576, std reward: 26.861
sample: 229, mc_sample: 10, mean reward: 26.39, std reward: 24.453
sample: 230, mc_sample: 10, mean reward: 30.717, std reward: 37.642
sample: 231, mc_sample: 10, mean reward: -420.22, std reward: 26.803
sample: 232, mc_sample: 10, mean reward: -421.243, std reward: 38.146
sample: 233, mc_sample: 10, mean reward: -443.827, std reward: 23.778
sample: 234, mc_sample: 10, mean reward: -434.466, std reward: 39.55
sample: 235, mc_sample: 10, mean reward: 26.973, std reward: 25.76
sample: 236, mc_sample: 10, mean reward: -436.107, std reward: 28.325
