sample: 0, mc_sample: 10, mean reward: 34.609, std reward: 2.728
sample: 1, mc_sample: 10, mean reward: 44.318, std reward: 6.057
sample: 2, mc_sample: 10, mean reward: 25.546, std reward: 4.359
sample: 3, mc_sample: 10, mean reward: 33.012, std reward: 2.797
sample: 4, mc_sample: 10, mean reward: 36.162, std reward: 3.34
sample: 5, mc_sample: 10, mean reward: 39.692, std reward: 3.595
sample: 6, mc_sample: 10, mean reward: 31.288, std reward: 3.7
sample: 7, mc_sample: 10, mean reward: 30.505, std reward: 3.24
sample: 8, mc_sample: 10, mean reward: 25.917, std reward: 1.851
sample: 9, mc_sample: 10, mean reward: 35.646, std reward: 3.297
sample: 10, mc_sample: 10, mean reward: 27.406, std reward: 3.511
sample: 11, mc_sample: 10, mean reward: 18.171, std reward: 2.324
sample: 12, mc_sample: 10, mean reward: 32.68, std reward: 5.615
sample: 13, mc_sample: 10, mean reward: 16.264, std reward: 2.178
sample: 14, mc_sample: 10, mean reward: 35.296, std reward: 2.777
sample: 15, mc_sample: 10, mean reward: 17.777, std reward: 2.078
sample: 16, mc_sample: 10, mean reward: 24.025, std reward: 2.145
sample: 17, mc_sample: 10, mean reward: 28.284, std reward: 4.208
sample: 18, mc_sample: 10, mean reward: 19.027, std reward: 3.177
sample: 19, mc_sample: 10, mean reward: 31.149, std reward: 3.072
sample: 20, mc_sample: 10, mean reward: 35.807, std reward: 5.537
sample: 21, mc_sample: 10, mean reward: 33.796, std reward: 5.227
sample: 22, mc_sample: 10, mean reward: 33.016, std reward: 3.293
sample: 23, mc_sample: 10, mean reward: 25.014, std reward: 2.7
sample: 24, mc_sample: 10, mean reward: 29.727, std reward: 3.273
sample: 25, mc_sample: 10, mean reward: 35.24, std reward: 3.394
sample: 26, mc_sample: 10, mean reward: 31.135, std reward: 1.806
sample: 27, mc_sample: 10, mean reward: 23.223, std reward: 1.537
sample: 28, mc_sample: 10, mean reward: 22.805, std reward: 4.194
sample: 29, mc_sample: 10, mean reward: 25.339, std reward: 4.679
sample: 30, mc_sample: 10, mean reward: 34.131, std reward: 5.608
sample: 31, mc_sample: 10, mean reward: 34.133, std reward: 4.743
sample: 32, mc_sample: 10, mean reward: 33.658, std reward: 4.538
sample: 33, mc_sample: 10, mean reward: 38.523, std reward: 3.504
sample: 34, mc_sample: 10, mean reward: 36.802, std reward: 3.627
sample: 35, mc_sample: 10, mean reward: 33.176, std reward: 3.863
sample: 36, mc_sample: 10, mean reward: 28.928, std reward: 2.432
sample: 37, mc_sample: 10, mean reward: 37.789, std reward: 3.865
sample: 38, mc_sample: 10, mean reward: 31.263, std reward: 2.953
sample: 39, mc_sample: 10, mean reward: 35.771, std reward: 2.612
sample: 40, mc_sample: 10, mean reward: 26.611, std reward: 3.018
sample: 41, mc_sample: 10, mean reward: 32.906, std reward: 2.83
sample: 42, mc_sample: 10, mean reward: 32.332, std reward: 3.016
sample: 43, mc_sample: 10, mean reward: 44.013, std reward: 2.673
sample: 44, mc_sample: 10, mean reward: 24.247, std reward: 2.854
sample: 45, mc_sample: 10, mean reward: 35.021, std reward: 4.028
sample: 46, mc_sample: 10, mean reward: 26.26, std reward: 2.692
sample: 47, mc_sample: 10, mean reward: 17.834, std reward: 3.296
sample: 48, mc_sample: 10, mean reward: 25.368, std reward: 2.2
sample: 49, mc_sample: 10, mean reward: 24.616, std reward: 3.382
sample: 50, mc_sample: 10, mean reward: 33.311, std reward: 3.529
sample: 51, mc_sample: 10, mean reward: 34.351, std reward: 4.266
sample: 52, mc_sample: 10, mean reward: 21.474, std reward: 4.231
sample: 53, mc_sample: 10, mean reward: 31.89, std reward: 4.165
sample: 54, mc_sample: 10, mean reward: 23.79, std reward: 2.595
sample: 55, mc_sample: 10, mean reward: 37.53, std reward: 3.933
sample: 56, mc_sample: 10, mean reward: 33.194, std reward: 5.171
sample: 57, mc_sample: 10, mean reward: 28.134, std reward: 3.641
sample: 58, mc_sample: 10, mean reward: 21.334, std reward: 3.681
sample: 59, mc_sample: 10, mean reward: 30.615, std reward: 2.602
sample: 60, mc_sample: 10, mean reward: 34.796, std reward: 4.385
sample: 61, mc_sample: 10, mean reward: 29.371, std reward: 2.419
sample: 62, mc_sample: 10, mean reward: 29.747, std reward: 2.179
sample: 63, mc_sample: 10, mean reward: 21.716, std reward: 2.981
sample: 64, mc_sample: 10, mean reward: 30.491, std reward: 4.767
sample: 65, mc_sample: 10, mean reward: 37.013, std reward: 4.614
sample: 66, mc_sample: 10, mean reward: 27.329, std reward: 2.547
sample: 67, mc_sample: 10, mean reward: 27.867, std reward: 4.559
sample: 68, mc_sample: 10, mean reward: 22.708, std reward: 2.501
sample: 69, mc_sample: 10, mean reward: 35.584, std reward: 4.299
sample: 70, mc_sample: 10, mean reward: 26.524, std reward: 1.571
sample: 71, mc_sample: 10, mean reward: 24.016, std reward: 3.466
sample: 72, mc_sample: 10, mean reward: 31.876, std reward: 2.757
sample: 73, mc_sample: 10, mean reward: 32.46, std reward: 2.916
sample: 74, mc_sample: 10, mean reward: 33.812, std reward: 5.667
sample: 75, mc_sample: 10, mean reward: 23.296, std reward: 2.984
sample: 76, mc_sample: 10, mean reward: 35.223, std reward: 4.534
sample: 77, mc_sample: 10, mean reward: 38.709, std reward: 4.674
sample: 78, mc_sample: 10, mean reward: 30.094, std reward: 4.052
sample: 79, mc_sample: 10, mean reward: 22.981, std reward: 3.777
sample: 80, mc_sample: 10, mean reward: 33.718, std reward: 3.704
sample: 81, mc_sample: 10, mean reward: 29.847, std reward: 2.509
sample: 82, mc_sample: 10, mean reward: 21.318, std reward: 3.254
sample: 83, mc_sample: 10, mean reward: 28.117, std reward: 2.904
sample: 84, mc_sample: 10, mean reward: 29.663, std reward: 2.701
sample: 85, mc_sample: 10, mean reward: 33.367, std reward: 3.655
sample: 86, mc_sample: 10, mean reward: 32.11, std reward: 3.377
sample: 87, mc_sample: 10, mean reward: 35.526, std reward: 3.273
sample: 88, mc_sample: 10, mean reward: 38.351, std reward: 4.895
sample: 89, mc_sample: 10, mean reward: 24.975, std reward: 2.106
sample: 90, mc_sample: 10, mean reward: 38.131, std reward: 4.987
sample: 91, mc_sample: 10, mean reward: 30.102, std reward: 2.754
sample: 92, mc_sample: 10, mean reward: 29.902, std reward: 3.762
sample: 93, mc_sample: 10, mean reward: 34.999, std reward: 2.723
sample: 94, mc_sample: 10, mean reward: 29.673, std reward: 4.291
sample: 95, mc_sample: 10, mean reward: 40.663, std reward: 4.535
sample: 96, mc_sample: 10, mean reward: 34.071, std reward: 2.43
sample: 97, mc_sample: 10, mean reward: 30.912, std reward: 3.858
sample: 98, mc_sample: 10, mean reward: 30.454, std reward: 2.891
sample: 99, mc_sample: 10, mean reward: 38.753, std reward: 5.704
sample: 100, mc_sample: 10, mean reward: 27.266, std reward: 3.092
sample: 101, mc_sample: 10, mean reward: 37.471, std reward: 4.629
sample: 102, mc_sample: 10, mean reward: 17.238, std reward: 1.835
sample: 103, mc_sample: 10, mean reward: 28.391, std reward: 2.682
sample: 104, mc_sample: 10, mean reward: 40.183, std reward: 5.458
sample: 105, mc_sample: 10, mean reward: 25.162, std reward: 1.879
sample: 106, mc_sample: 10, mean reward: 35.657, std reward: 4.247
sample: 107, mc_sample: 10, mean reward: 27.69, std reward: 3.381
sample: 108, mc_sample: 10, mean reward: 34.02, std reward: 5.211
sample: 109, mc_sample: 10, mean reward: 34.433, std reward: 5.438
sample: 110, mc_sample: 10, mean reward: 30.427, std reward: 4.342
sample: 111, mc_sample: 10, mean reward: 38.688, std reward: 2.739
sample: 112, mc_sample: 10, mean reward: 25.885, std reward: 3.452
sample: 113, mc_sample: 10, mean reward: 36.66, std reward: 5.991
sample: 114, mc_sample: 10, mean reward: 36.545, std reward: 4.715
sample: 115, mc_sample: 10, mean reward: 34.909, std reward: 3.789
sample: 116, mc_sample: 10, mean reward: 31.259, std reward: 4.76
sample: 117, mc_sample: 10, mean reward: 27.814, std reward: 4.269
sample: 118, mc_sample: 10, mean reward: 34.066, std reward: 3.296
sample: 119, mc_sample: 10, mean reward: 34.669, std reward: 3.587
sample: 120, mc_sample: 10, mean reward: 40.559, std reward: 4.333
sample: 121, mc_sample: 10, mean reward: 28.966, std reward: 2.644
sample: 122, mc_sample: 10, mean reward: 40.463, std reward: 3.898
sample: 123, mc_sample: 10, mean reward: 35.344, std reward: 4.765
sample: 124, mc_sample: 10, mean reward: 25.352, std reward: 4.246
sample: 125, mc_sample: 10, mean reward: 31.825, std reward: 2.219
sample: 126, mc_sample: 10, mean reward: 30.044, std reward: 3.269
sample: 127, mc_sample: 10, mean reward: 25.408, std reward: 2.796
sample: 128, mc_sample: 10, mean reward: 29.227, std reward: 3.53
sample: 129, mc_sample: 10, mean reward: 38.476, std reward: 5.026
sample: 130, mc_sample: 10, mean reward: 24.778, std reward: 3.257
sample: 131, mc_sample: 10, mean reward: 41.424, std reward: 5.408
sample: 132, mc_sample: 10, mean reward: 31.63, std reward: 4.409
sample: 133, mc_sample: 10, mean reward: 34.609, std reward: 3.907
sample: 134, mc_sample: 10, mean reward: 39.588, std reward: 3.279
sample: 135, mc_sample: 10, mean reward: 29.118, std reward: 1.817
sample: 136, mc_sample: 10, mean reward: 20.492, std reward: 4.048
sample: 137, mc_sample: 10, mean reward: 31.195, std reward: 3.061
sample: 138, mc_sample: 10, mean reward: 23.503, std reward: 4.01
sample: 139, mc_sample: 10, mean reward: 29.755, std reward: 3.759
sample: 140, mc_sample: 10, mean reward: 25.771, std reward: 2.981
sample: 141, mc_sample: 10, mean reward: 38.429, std reward: 4.461
sample: 142, mc_sample: 10, mean reward: 43.666, std reward: 3.677
sample: 143, mc_sample: 10, mean reward: 26.341, std reward: 4.475
sample: 144, mc_sample: 10, mean reward: 38.578, std reward: 3.432
sample: 145, mc_sample: 10, mean reward: 24.03, std reward: 4.206
sample: 146, mc_sample: 10, mean reward: 33.732, std reward: 3.578
sample: 147, mc_sample: 10, mean reward: 33.537, std reward: 3.359
sample: 148, mc_sample: 10, mean reward: 39.828, std reward: 2.995
sample: 149, mc_sample: 10, mean reward: 28.006, std reward: 2.489
sample: 150, mc_sample: 10, mean reward: 22.579, std reward: 6.135
sample: 151, mc_sample: 10, mean reward: 37.095, std reward: 4.121
sample: 152, mc_sample: 10, mean reward: 29.718, std reward: 2.846
sample: 153, mc_sample: 10, mean reward: 35.009, std reward: 3.448
sample: 154, mc_sample: 10, mean reward: 37.017, std reward: 2.9
sample: 155, mc_sample: 10, mean reward: 27.585, std reward: 3.756
sample: 156, mc_sample: 10, mean reward: 31.015, std reward: 3.575
sample: 157, mc_sample: 10, mean reward: 38.311, std reward: 4.625
sample: 158, mc_sample: 10, mean reward: 26.348, std reward: 3.824
sample: 159, mc_sample: 10, mean reward: 33.042, std reward: 4.41
sample: 160, mc_sample: 10, mean reward: 33.915, std reward: 3.931
sample: 161, mc_sample: 10, mean reward: 40.265, std reward: 4.376
sample: 162, mc_sample: 10, mean reward: 32.907, std reward: 3.567
sample: 163, mc_sample: 10, mean reward: 24.253, std reward: 3.067
sample: 164, mc_sample: 10, mean reward: 35.067, std reward: 2.577
sample: 165, mc_sample: 10, mean reward: 33.444, std reward: 2.075
sample: 166, mc_sample: 10, mean reward: 40.137, std reward: 4.792
sample: 167, mc_sample: 10, mean reward: 34.864, std reward: 5.956
sample: 168, mc_sample: 10, mean reward: 35.122, std reward: 3.879
sample: 169, mc_sample: 10, mean reward: 27.976, std reward: 3.627
sample: 170, mc_sample: 10, mean reward: 30.322, std reward: 5.576
sample: 171, mc_sample: 10, mean reward: 32.755, std reward: 5.378
sample: 172, mc_sample: 10, mean reward: 33.941, std reward: 4.873
sample: 173, mc_sample: 10, mean reward: 24.946, std reward: 4.026
sample: 174, mc_sample: 10, mean reward: 43.681, std reward: 4.247
sample: 175, mc_sample: 10, mean reward: 25.564, std reward: 3.115
sample: 176, mc_sample: 10, mean reward: 25.732, std reward: 3.904
sample: 177, mc_sample: 10, mean reward: 35.38, std reward: 3.583
sample: 178, mc_sample: 10, mean reward: 36.848, std reward: 5.852
sample: 179, mc_sample: 10, mean reward: 28.182, std reward: 2.779
sample: 180, mc_sample: 10, mean reward: 37.285, std reward: 3.416
sample: 181, mc_sample: 10, mean reward: 23.899, std reward: 3.988
sample: 182, mc_sample: 10, mean reward: 28.856, std reward: 2.0
sample: 183, mc_sample: 10, mean reward: 34.536, std reward: 4.733
sample: 184, mc_sample: 10, mean reward: 38.725, std reward: 4.383
sample: 185, mc_sample: 10, mean reward: 19.944, std reward: 3.241
sample: 186, mc_sample: 10, mean reward: 36.308, std reward: 3.784
sample: 187, mc_sample: 10, mean reward: 27.268, std reward: 3.239
sample: 188, mc_sample: 10, mean reward: 27.117, std reward: 2.127
sample: 189, mc_sample: 10, mean reward: 27.243, std reward: 2.839
sample: 190, mc_sample: 10, mean reward: 35.658, std reward: 3.483
sample: 191, mc_sample: 10, mean reward: 35.046, std reward: 3.864
sample: 192, mc_sample: 10, mean reward: 29.91, std reward: 2.428
sample: 193, mc_sample: 10, mean reward: 32.744, std reward: 2.847
sample: 194, mc_sample: 10, mean reward: 38.678, std reward: 4.462
sample: 195, mc_sample: 10, mean reward: 33.806, std reward: 3.654
sample: 196, mc_sample: 10, mean reward: 35.86, std reward: 3.784
sample: 197, mc_sample: 10, mean reward: 35.513, std reward: 6.05
sample: 198, mc_sample: 10, mean reward: 28.291, std reward: 3.02
sample: 199, mc_sample: 10, mean reward: 31.552, std reward: 4.246
sample: 200, mc_sample: 10, mean reward: 41.335, std reward: 5.826
sample: 201, mc_sample: 10, mean reward: 33.15, std reward: 4.053
sample: 202, mc_sample: 10, mean reward: 38.19, std reward: 4.725
sample: 203, mc_sample: 10, mean reward: 27.172, std reward: 3.778
sample: 204, mc_sample: 10, mean reward: 41.324, std reward: 3.84
sample: 205, mc_sample: 10, mean reward: 27.437, std reward: 4.204
sample: 206, mc_sample: 10, mean reward: 33.947, std reward: 2.427
sample: 207, mc_sample: 10, mean reward: 38.095, std reward: 4.295
sample: 208, mc_sample: 10, mean reward: 22.902, std reward: 3.713
sample: 209, mc_sample: 10, mean reward: 39.206, std reward: 2.643
sample: 210, mc_sample: 10, mean reward: 30.073, std reward: 3.053
sample: 211, mc_sample: 10, mean reward: 35.82, std reward: 3.539
sample: 212, mc_sample: 10, mean reward: 41.483, std reward: 5.129
sample: 213, mc_sample: 10, mean reward: 33.927, std reward: 3.829
sample: 214, mc_sample: 10, mean reward: 25.984, std reward: 3.78
sample: 215, mc_sample: 10, mean reward: 22.959, std reward: 4.257
sample: 216, mc_sample: 10, mean reward: 32.123, std reward: 2.904
sample: 217, mc_sample: 10, mean reward: 33.409, std reward: 3.401
sample: 218, mc_sample: 10, mean reward: 39.159, std reward: 3.731
sample: 219, mc_sample: 10, mean reward: 31.044, std reward: 4.392
sample: 220, mc_sample: 10, mean reward: 35.912, std reward: 4.086
sample: 221, mc_sample: 10, mean reward: 33.352, std reward: 3.077
sample: 222, mc_sample: 10, mean reward: 32.275, std reward: 4.873
sample: 223, mc_sample: 10, mean reward: 41.107, std reward: 4.107
sample: 224, mc_sample: 10, mean reward: 42.765, std reward: 4.503
sample: 225, mc_sample: 10, mean reward: 36.242, std reward: 4.073
sample: 226, mc_sample: 10, mean reward: 32.758, std reward: 3.173
sample: 227, mc_sample: 10, mean reward: 32.773, std reward: 1.919
sample: 228, mc_sample: 10, mean reward: 42.333, std reward: 3.117
sample: 229, mc_sample: 10, mean reward: 32.105, std reward: 4.405
sample: 230, mc_sample: 10, mean reward: 37.589, std reward: 4.032
sample: 231, mc_sample: 10, mean reward: 37.665, std reward: 2.2
sample: 232, mc_sample: 10, mean reward: 41.422, std reward: 5.021
sample: 233, mc_sample: 10, mean reward: 34.019, std reward: 4.523
sample: 234, mc_sample: 10, mean reward: 34.19, std reward: 5.925
sample: 235, mc_sample: 10, mean reward: 29.587, std reward: 2.536
sample: 236, mc_sample: 10, mean reward: 31.762, std reward: 2.028
sample: 237, mc_sample: 10, mean reward: 39.967, std reward: 5.627
sample: 238, mc_sample: 10, mean reward: 31.94, std reward: 5.551
sample: 239, mc_sample: 10, mean reward: 27.788, std reward: 3.596
sample: 240, mc_sample: 10, mean reward: 26.337, std reward: 2.604
sample: 241, mc_sample: 10, mean reward: 25.822, std reward: 2.891
sample: 242, mc_sample: 10, mean reward: 42.0, std reward: 3.571
sample: 243, mc_sample: 10, mean reward: 32.55, std reward: 5.734
sample: 244, mc_sample: 10, mean reward: 35.022, std reward: 3.56
sample: 245, mc_sample: 10, mean reward: 31.204, std reward: 4.045
sample: 246, mc_sample: 10, mean reward: 33.521, std reward: 4.036
sample: 247, mc_sample: 10, mean reward: 32.649, std reward: 3.009
sample: 248, mc_sample: 10, mean reward: 29.026, std reward: 4.053
sample: 249, mc_sample: 10, mean reward: 40.028, std reward: 3.268
sample: 250, mc_sample: 10, mean reward: 36.974, std reward: 5.4
sample: 251, mc_sample: 10, mean reward: 27.532, std reward: 2.452
sample: 252, mc_sample: 10, mean reward: 29.037, std reward: 3.16
sample: 253, mc_sample: 10, mean reward: 43.614, std reward: 5.863
sample: 254, mc_sample: 10, mean reward: 39.664, std reward: 4.89
sample: 255, mc_sample: 10, mean reward: 41.604, std reward: 4.939
sample: 256, mc_sample: 10, mean reward: 34.667, std reward: 6.44
sample: 257, mc_sample: 10, mean reward: 41.164, std reward: 6.493
sample: 258, mc_sample: 10, mean reward: 38.268, std reward: 3.786
sample: 259, mc_sample: 10, mean reward: 31.942, std reward: 6.625
sample: 260, mc_sample: 10, mean reward: 36.03, std reward: 5.848
sample: 261, mc_sample: 10, mean reward: 26.619, std reward: 4.515
sample: 262, mc_sample: 10, mean reward: 32.6, std reward: 3.065
sample: 263, mc_sample: 10, mean reward: 27.001, std reward: 2.67
sample: 264, mc_sample: 10, mean reward: 25.578, std reward: 2.291
sample: 265, mc_sample: 10, mean reward: 31.848, std reward: 4.299
sample: 266, mc_sample: 10, mean reward: 41.536, std reward: 2.426
sample: 267, mc_sample: 10, mean reward: 33.923, std reward: 3.923
sample: 268, mc_sample: 10, mean reward: 36.429, std reward: 3.035
sample: 269, mc_sample: 10, mean reward: 32.133, std reward: 3.381
sample: 270, mc_sample: 10, mean reward: 34.393, std reward: 6.286
sample: 271, mc_sample: 10, mean reward: 24.633, std reward: 2.868
sample: 272, mc_sample: 10, mean reward: 29.118, std reward: 3.702
sample: 273, mc_sample: 10, mean reward: 45.6, std reward: 4.11
sample: 274, mc_sample: 10, mean reward: 35.79, std reward: 4.573
sample: 275, mc_sample: 10, mean reward: 38.273, std reward: 3.497
sample: 276, mc_sample: 10, mean reward: 30.266, std reward: 3.975
sample: 277, mc_sample: 10, mean reward: 38.203, std reward: 5.146
sample: 278, mc_sample: 10, mean reward: 34.803, std reward: 5.288
sample: 279, mc_sample: 10, mean reward: 30.195, std reward: 3.084
sample: 280, mc_sample: 10, mean reward: 35.749, std reward: 4.323
sample: 281, mc_sample: 10, mean reward: 36.867, std reward: 6.876
sample: 282, mc_sample: 10, mean reward: 41.327, std reward: 3.532
sample: 283, mc_sample: 10, mean reward: 31.992, std reward: 3.012
sample: 284, mc_sample: 10, mean reward: 37.937, std reward: 4.974
sample: 285, mc_sample: 10, mean reward: 29.179, std reward: 5.258
sample: 286, mc_sample: 10, mean reward: 34.278, std reward: 3.457
sample: 287, mc_sample: 10, mean reward: 31.592, std reward: 6.536
sample: 288, mc_sample: 10, mean reward: 38.223, std reward: 3.56
sample: 289, mc_sample: 10, mean reward: 38.289, std reward: 6.531
sample: 290, mc_sample: 10, mean reward: 32.318, std reward: 3.646
sample: 291, mc_sample: 10, mean reward: 23.532, std reward: 1.748
sample: 292, mc_sample: 10, mean reward: 31.488, std reward: 6.541
sample: 293, mc_sample: 10, mean reward: 28.632, std reward: 4.877
sample: 294, mc_sample: 10, mean reward: 38.717, std reward: 5.038
sample: 295, mc_sample: 10, mean reward: 35.106, std reward: 4.169
sample: 296, mc_sample: 10, mean reward: 34.182, std reward: 3.766
sample: 297, mc_sample: 10, mean reward: 23.319, std reward: 3.52
sample: 298, mc_sample: 10, mean reward: 34.586, std reward: 4.51
sample: 299, mc_sample: 10, mean reward: 25.291, std reward: 3.292
sample: 300, mc_sample: 10, mean reward: 39.477, std reward: 4.064
sample: 301, mc_sample: 10, mean reward: 33.8, std reward: 4.058
sample: 302, mc_sample: 10, mean reward: 34.195, std reward: 4.233
sample: 303, mc_sample: 10, mean reward: 41.702, std reward: 4.679
sample: 304, mc_sample: 10, mean reward: 39.684, std reward: 3.89
sample: 305, mc_sample: 10, mean reward: 30.545, std reward: 4.608
sample: 306, mc_sample: 10, mean reward: 39.237, std reward: 3.105
sample: 307, mc_sample: 10, mean reward: 40.078, std reward: 4.115
sample: 308, mc_sample: 10, mean reward: 39.236, std reward: 5.624
sample: 309, mc_sample: 10, mean reward: 40.809, std reward: 4.064
sample: 310, mc_sample: 10, mean reward: 35.959, std reward: 5.124
sample: 311, mc_sample: 10, mean reward: 38.96, std reward: 2.959
sample: 312, mc_sample: 10, mean reward: 41.626, std reward: 4.326
sample: 313, mc_sample: 10, mean reward: 45.647, std reward: 4.491
sample: 314, mc_sample: 10, mean reward: 41.933, std reward: 4.881
sample: 315, mc_sample: 10, mean reward: 33.664, std reward: 5.055
sample: 316, mc_sample: 10, mean reward: 33.991, std reward: 2.952
sample: 317, mc_sample: 10, mean reward: 38.73, std reward: 3.874
sample: 318, mc_sample: 10, mean reward: 31.303, std reward: 6.074
sample: 319, mc_sample: 10, mean reward: 31.293, std reward: 5.719
sample: 320, mc_sample: 10, mean reward: 37.201, std reward: 4.8
sample: 321, mc_sample: 10, mean reward: 44.26, std reward: 4.367
sample: 322, mc_sample: 10, mean reward: 31.216, std reward: 4.203
sample: 323, mc_sample: 10, mean reward: 42.913, std reward: 3.431
sample: 324, mc_sample: 10, mean reward: 38.705, std reward: 2.709
sample: 325, mc_sample: 10, mean reward: 37.621, std reward: 4.581
sample: 326, mc_sample: 10, mean reward: 41.867, std reward: 5.084
sample: 327, mc_sample: 10, mean reward: 43.208, std reward: 4.89
sample: 328, mc_sample: 10, mean reward: 38.742, std reward: 2.916
sample: 329, mc_sample: 10, mean reward: 44.285, std reward: 5.792
sample: 330, mc_sample: 10, mean reward: 43.938, std reward: 2.431
sample: 331, mc_sample: 10, mean reward: 39.909, std reward: 4.729
sample: 332, mc_sample: 10, mean reward: 40.301, std reward: 4.421
sample: 333, mc_sample: 10, mean reward: 43.908, std reward: 5.137
sample: 334, mc_sample: 10, mean reward: 39.039, std reward: 3.242
sample: 335, mc_sample: 10, mean reward: 46.911, std reward: 5.564
sample: 336, mc_sample: 10, mean reward: 44.851, std reward: 5.697
sample: 337, mc_sample: 10, mean reward: 35.618, std reward: 4.909
sample: 338, mc_sample: 10, mean reward: 39.231, std reward: 4.713
sample: 339, mc_sample: 10, mean reward: 42.452, std reward: 4.853
sample: 340, mc_sample: 10, mean reward: 37.063, std reward: 2.839
sample: 341, mc_sample: 10, mean reward: 30.936, std reward: 3.475
sample: 342, mc_sample: 10, mean reward: 32.468, std reward: 6.191
sample: 343, mc_sample: 10, mean reward: 29.404, std reward: 3.378
sample: 344, mc_sample: 10, mean reward: 34.353, std reward: 3.506
sample: 345, mc_sample: 10, mean reward: 36.323, std reward: 4.737
sample: 346, mc_sample: 10, mean reward: 40.743, std reward: 3.914
sample: 347, mc_sample: 10, mean reward: 31.353, std reward: 4.372
sample: 348, mc_sample: 10, mean reward: 34.824, std reward: 3.353
sample: 349, mc_sample: 10, mean reward: 43.178, std reward: 5.672
sample: 350, mc_sample: 10, mean reward: 46.975, std reward: 4.611
sample: 351, mc_sample: 10, mean reward: 39.811, std reward: 4.808
sample: 352, mc_sample: 10, mean reward: 41.581, std reward: 3.982
sample: 353, mc_sample: 10, mean reward: 37.643, std reward: 5.346
sample: 354, mc_sample: 10, mean reward: 37.101, std reward: 5.4
sample: 355, mc_sample: 10, mean reward: 43.538, std reward: 4.684
