sample: 73, mc_sample: 1, mean reward: -37.925, std reward: 0.0, kl: 47740.0
sample: 74, mc_sample: 1, mean reward: -14.698, std reward: 0.0, kl: 47740.0
sample: 75, mc_sample: 1, mean reward: -46.994, std reward: 0.0, kl: 47740.0
sample: 76, mc_sample: 1, mean reward: -64.605, std reward: 0.0, kl: 47740.0
sample: 77, mc_sample: 1, mean reward: -44.293, std reward: 0.0, kl: 47740.0
sample: 78, mc_sample: 1, mean reward: -91.116, std reward: 0.0, kl: 47740.0
sample: 79, mc_sample: 1, mean reward: -23.308, std reward: 0.0, kl: 47740.0
sample: 80, mc_sample: 1, mean reward: -36.26, std reward: 0.0, kl: 47740.0
sample: 81, mc_sample: 1, mean reward: -69.419, std reward: 0.0, kl: 47740.0
sample: 82, mc_sample: 1, mean reward: -40.251, std reward: 0.0, kl: 47740.0
sample: 83, mc_sample: 1, mean reward: -13.047, std reward: 0.0, kl: 47740.0
sample: 84, mc_sample: 1, mean reward: -16.284, std reward: 0.0, kl: 47740.0
sample: 85, mc_sample: 1, mean reward: -13.891, std reward: 0.0, kl: 47740.0
sample: 86, mc_sample: 1, mean reward: -21.413, std reward: 0.0, kl: 47740.0
sample: 87, mc_sample: 1, mean reward: -61.09, std reward: 0.0, kl: 47740.0
sample: 88, mc_sample: 1, mean reward: -10.492, std reward: 0.0, kl: 47740.0
sample: 89, mc_sample: 1, mean reward: -63.932, std reward: 0.0, kl: 47740.0
sample: 90, mc_sample: 1, mean reward: -13.904, std reward: 0.0, kl: 47740.0
sample: 91, mc_sample: 1, mean reward: -56.784, std reward: 0.0, kl: 47740.0
sample: 92, mc_sample: 1, mean reward: -46.866, std reward: 0.0, kl: 47740.0
sample: 93, mc_sample: 1, mean reward: -64.295, std reward: 0.0, kl: 47740.0
sample: 94, mc_sample: 1, mean reward: -21.81, std reward: 0.0, kl: 47740.0
sample: 95, mc_sample: 1, mean reward: -75.891, std reward: 0.0, kl: 47740.0
sample: 96, mc_sample: 1, mean reward: -33.692, std reward: 0.0, kl: 47740.0
sample: 97, mc_sample: 1, mean reward: -75.367, std reward: 0.0, kl: 47740.0
sample: 98, mc_sample: 1, mean reward: -36.509, std reward: 0.0, kl: 47740.0
sample: 99, mc_sample: 1, mean reward: -34.527, std reward: 0.0, kl: 47740.0
sample: 100, mc_sample: 1, mean reward: -11.892, std reward: 0.0, kl: 47740.0
sample: 101, mc_sample: 1, mean reward: -16.586, std reward: 0.0, kl: 47740.0
sample: 102, mc_sample: 1, mean reward: -15.203, std reward: 0.0, kl: 47740.0
sample: 103, mc_sample: 1, mean reward: -38.852, std reward: 0.0, kl: 47740.0
sample: 104, mc_sample: 1, mean reward: -78.89, std reward: 0.0, kl: 47740.0
sample: 105, mc_sample: 1, mean reward: -57.547, std reward: 0.0, kl: 47740.0
sample: 106, mc_sample: 1, mean reward: -33.621, std reward: 0.0, kl: 47740.0
sample: 107, mc_sample: 1, mean reward: -14.505, std reward: 0.0, kl: 47740.0
sample: 108, mc_sample: 1, mean reward: -26.819, std reward: 0.0, kl: 47740.0
sample: 109, mc_sample: 1, mean reward: -24.585, std reward: 0.0, kl: 47740.0
sample: 110, mc_sample: 1, mean reward: -33.167, std reward: 0.0, kl: 47740.0
sample: 111, mc_sample: 1, mean reward: -36.511, std reward: 0.0, kl: 47740.0
sample: 112, mc_sample: 1, mean reward: -14.249, std reward: 0.0, kl: 47740.0
sample: 113, mc_sample: 1, mean reward: -19.113, std reward: 0.0, kl: 47740.0
sample: 114, mc_sample: 1, mean reward: -11.546, std reward: 0.0, kl: 47740.0
