sample: 0, mc_sample: 1, mean reward: 29.222, std reward: 0.0, kl: 0
sample: 1, mc_sample: 1, mean reward: 18.658, std reward: 0.0, kl: 33279.0
sample: 2, mc_sample: 1, mean reward: 33.494, std reward: 0.0, kl: 33278.99609375
sample: 3, mc_sample: 1, mean reward: 44.52, std reward: 0.0, kl: 33279.0
sample: 4, mc_sample: 1, mean reward: 37.734, std reward: 0.0, kl: 33279.0
sample: 5, mc_sample: 1, mean reward: 36.328, std reward: 0.0, kl: 33279.0
sample: 6, mc_sample: 1, mean reward: 22.859, std reward: 0.0, kl: 33279.0
sample: 7, mc_sample: 1, mean reward: 31.136, std reward: 0.0, kl: 33279.0
sample: 8, mc_sample: 1, mean reward: 33.691, std reward: 0.0, kl: 33279.0
sample: 9, mc_sample: 1, mean reward: 32.788, std reward: 0.0, kl: 33279.0
sample: 10, mc_sample: 1, mean reward: 31.592, std reward: 0.0, kl: 33279.0
sample: 11, mc_sample: 1, mean reward: 32.456, std reward: 0.0, kl: 33279.0
sample: 12, mc_sample: 1, mean reward: 31.952, std reward: 0.0, kl: 33279.0
sample: 13, mc_sample: 1, mean reward: 34.082, std reward: 0.0, kl: 33279.0
sample: 14, mc_sample: 1, mean reward: 33.682, std reward: 0.0, kl: 33279.0
sample: 15, mc_sample: 1, mean reward: 43.041, std reward: 0.0, kl: 33279.0
sample: 16, mc_sample: 1, mean reward: 34.666, std reward: 0.0, kl: 33279.0
sample: 17, mc_sample: 1, mean reward: 37.322, std reward: 0.0, kl: 33279.0
sample: 18, mc_sample: 1, mean reward: 57.193, std reward: 0.0, kl: 33279.0
sample: 19, mc_sample: 1, mean reward: 31.535, std reward: 0.0, kl: 33279.0
sample: 20, mc_sample: 1, mean reward: 42.58, std reward: 0.0, kl: 33279.0
sample: 21, mc_sample: 1, mean reward: 36.799, std reward: 0.0, kl: 33279.0
