sample: 0, mc_sample: 2, mean reward: 32.597, std reward: 0.506, kl: 0
sample: 1, mc_sample: 2, mean reward: 29.985, std reward: 1.164, kl: 16639.5
sample: 2, mc_sample: 2, mean reward: 37.196, std reward: 3.998, kl: 16639.5
sample: 3, mc_sample: 2, mean reward: 27.475, std reward: 1.823, kl: 16639.5
sample: 4, mc_sample: 2, mean reward: 37.266, std reward: 0.652, kl: 16639.5
sample: 5, mc_sample: 2, mean reward: 33.422, std reward: 0.916, kl: 16639.5
sample: 6, mc_sample: 2, mean reward: 33.182, std reward: 1.817, kl: 16639.5
sample: 7, mc_sample: 2, mean reward: 32.379, std reward: 0.025, kl: 16639.5
sample: 8, mc_sample: 2, mean reward: 32.018, std reward: 1.311, kl: 16639.5
sample: 9, mc_sample: 2, mean reward: 32.736, std reward: 0.905, kl: 16639.5
sample: 10, mc_sample: 2, mean reward: 33.638, std reward: 4.323, kl: 16639.5
sample: 11, mc_sample: 2, mean reward: 25.661, std reward: 0.22, kl: 16639.5
sample: 12, mc_sample: 2, mean reward: 36.679, std reward: 0.402, kl: 16639.5
sample: 13, mc_sample: 2, mean reward: 25.898, std reward: 2.013, kl: 16639.5
sample: 14, mc_sample: 2, mean reward: 27.387, std reward: 0.237, kl: 16639.5
sample: 15, mc_sample: 2, mean reward: 34.696, std reward: 3.67, kl: 16639.5
sample: 16, mc_sample: 2, mean reward: 26.344, std reward: 2.097, kl: 16639.5
sample: 17, mc_sample: 2, mean reward: 20.833, std reward: 2.269, kl: 16639.5
sample: 18, mc_sample: 2, mean reward: 31.285, std reward: 0.155, kl: 16639.5
sample: 19, mc_sample: 2, mean reward: 29.788, std reward: 0.483, kl: 16639.5
sample: 20, mc_sample: 2, mean reward: 21.45, std reward: 2.1, kl: 16639.5
sample: 21, mc_sample: 2, mean reward: 14.641, std reward: 2.038, kl: 16639.5
sample: 22, mc_sample: 2, mean reward: 36.232, std reward: 2.793, kl: 16639.5
sample: 23, mc_sample: 2, mean reward: 26.031, std reward: 0.054, kl: 16639.5
sample: 24, mc_sample: 2, mean reward: 33.132, std reward: 1.238, kl: 16639.5
sample: 25, mc_sample: 2, mean reward: 39.213, std reward: 1.553, kl: 16639.5
sample: 26, mc_sample: 2, mean reward: 29.03, std reward: 3.151, kl: 16639.4921875
sample: 27, mc_sample: 2, mean reward: 40.597, std reward: 0.65, kl: 16639.4921875
sample: 28, mc_sample: 2, mean reward: 30.564, std reward: 4.548, kl: 16639.4921875
sample: 29, mc_sample: 2, mean reward: 25.735, std reward: 5.812, kl: 16639.4921875
sample: 30, mc_sample: 2, mean reward: 35.926, std reward: 1.375, kl: 16639.4921875
sample: 31, mc_sample: 2, mean reward: 40.152, std reward: 2.089, kl: 16639.4921875
sample: 32, mc_sample: 2, mean reward: 35.124, std reward: 0.835, kl: 16639.4921875
sample: 33, mc_sample: 2, mean reward: 39.787, std reward: 1.02, kl: 16639.4921875
sample: 34, mc_sample: 2, mean reward: 36.889, std reward: 0.326, kl: 16639.4921875
sample: 35, mc_sample: 2, mean reward: 40.05, std reward: 0.93, kl: 16639.4921875
sample: 36, mc_sample: 2, mean reward: 46.85, std reward: 5.863, kl: 16639.4921875
sample: 37, mc_sample: 2, mean reward: 35.502, std reward: 3.999, kl: 16639.4921875
sample: 38, mc_sample: 2, mean reward: 36.919, std reward: 7.921, kl: 16639.4921875
sample: 39, mc_sample: 2, mean reward: 37.991, std reward: 1.587, kl: 16639.4921875
sample: 40, mc_sample: 2, mean reward: 42.002, std reward: 3.699, kl: 16639.4921875
sample: 41, mc_sample: 2, mean reward: 38.417, std reward: 0.076, kl: 16639.4921875
sample: 42, mc_sample: 2, mean reward: 45.065, std reward: 0.959, kl: 16639.4921875
sample: 43, mc_sample: 2, mean reward: 26.198, std reward: 1.181, kl: 16639.4921875
sample: 44, mc_sample: 2, mean reward: 44.895, std reward: 6.369, kl: 16639.4921875
sample: 45, mc_sample: 2, mean reward: 38.456, std reward: 3.212, kl: 16639.4921875
sample: 46, mc_sample: 2, mean reward: 39.552, std reward: 2.225, kl: 16639.4921875
sample: 47, mc_sample: 2, mean reward: 28.76, std reward: 3.053, kl: 16639.4921875
sample: 48, mc_sample: 2, mean reward: 41.461, std reward: 4.677, kl: 16639.4921875
sample: 49, mc_sample: 2, mean reward: 42.165, std reward: 0.502, kl: 16639.4921875
sample: 50, mc_sample: 2, mean reward: 28.154, std reward: 2.911, kl: 16639.4921875
sample: 51, mc_sample: 2, mean reward: 28.922, std reward: 0.98, kl: 16639.482421875
sample: 52, mc_sample: 2, mean reward: 22.727, std reward: 0.944, kl: 16639.482421875
