sample: 0, mc_sample: 15, mean reward: 41.25, std reward: 3.954, kl: 0
sample: 1, mc_sample: 15, mean reward: 39.703, std reward: 3.96, kl: 0
sample: 2, mc_sample: 15, mean reward: 36.768, std reward: 3.883, kl: 0
sample: 3, mc_sample: 15, mean reward: 37.587, std reward: 4.211, kl: 0
sample: 4, mc_sample: 15, mean reward: 20.776, std reward: 2.978, kl: 0
sample: 5, mc_sample: 15, mean reward: 24.403, std reward: 3.167, kl: 0
sample: 6, mc_sample: 15, mean reward: 32.248, std reward: 4.543, kl: 0
sample: 7, mc_sample: 15, mean reward: 37.394, std reward: 3.613, kl: 0
sample: 8, mc_sample: 15, mean reward: 30.631, std reward: 3.521, kl: 0
sample: 9, mc_sample: 15, mean reward: 25.44, std reward: 3.066, kl: 0
sample: 10, mc_sample: 15, mean reward: 16.518, std reward: 2.515, kl: 0
sample: 11, mc_sample: 15, mean reward: 31.778, std reward: 4.329, kl: 0
sample: 12, mc_sample: 15, mean reward: 26.943, std reward: 3.131, kl: 0
sample: 13, mc_sample: 15, mean reward: 31.361, std reward: 4.268, kl: 0
sample: 14, mc_sample: 15, mean reward: 24.99, std reward: 4.035, kl: 0
sample: 15, mc_sample: 15, mean reward: 29.457, std reward: 2.461, kl: 0
sample: 16, mc_sample: 15, mean reward: 31.568, std reward: 4.43, kl: 0
sample: 17, mc_sample: 15, mean reward: 20.475, std reward: 2.708, kl: 0
sample: 18, mc_sample: 15, mean reward: 27.901, std reward: 3.267, kl: 0
sample: 19, mc_sample: 15, mean reward: 33.051, std reward: 4.478, kl: 0
sample: 20, mc_sample: 15, mean reward: 37.354, std reward: 3.798, kl: 0
sample: 21, mc_sample: 15, mean reward: 32.969, std reward: 3.702, kl: 0
sample: 22, mc_sample: 15, mean reward: 34.811, std reward: 3.719, kl: 0
sample: 23, mc_sample: 15, mean reward: 43.967, std reward: 5.211, kl: 0
sample: 24, mc_sample: 15, mean reward: 34.592, std reward: 3.349, kl: 0
