sample: 0, mc_sample: 15, mean reward: 38.925, std reward: 6.467, kl: 0
sample: 1, mc_sample: 15, mean reward: 34.999, std reward: 4.826, kl: 0
sample: 2, mc_sample: 15, mean reward: 22.59, std reward: 3.787, kl: 0
sample: 3, mc_sample: 15, mean reward: 38.407, std reward: 3.728, kl: 0
sample: 4, mc_sample: 15, mean reward: 28.602, std reward: 3.498, kl: 0
sample: 5, mc_sample: 15, mean reward: 32.926, std reward: 3.485, kl: 0
sample: 6, mc_sample: 15, mean reward: 33.105, std reward: 4.35, kl: 0
sample: 7, mc_sample: 15, mean reward: 22.459, std reward: 3.326, kl: 0
sample: 8, mc_sample: 15, mean reward: 28.545, std reward: 3.623, kl: 0
sample: 9, mc_sample: 15, mean reward: 34.156, std reward: 2.828, kl: 0
sample: 10, mc_sample: 15, mean reward: 30.114, std reward: 3.069, kl: 0
sample: 11, mc_sample: 15, mean reward: 38.131, std reward: 4.114, kl: 0
sample: 12, mc_sample: 15, mean reward: 33.527, std reward: 3.303, kl: 0
sample: 13, mc_sample: 15, mean reward: 15.887, std reward: 2.14, kl: 0
sample: 14, mc_sample: 15, mean reward: 33.762, std reward: 4.058, kl: 0
sample: 15, mc_sample: 15, mean reward: 24.777, std reward: 3.549, kl: 0
sample: 16, mc_sample: 15, mean reward: 37.132, std reward: 4.361, kl: 0
sample: 17, mc_sample: 15, mean reward: 41.268, std reward: 4.994, kl: 0
sample: 18, mc_sample: 15, mean reward: 34.91, std reward: 2.808, kl: 0
sample: 19, mc_sample: 15, mean reward: 37.794, std reward: 3.428, kl: 0
sample: 20, mc_sample: 15, mean reward: 22.005, std reward: 1.956, kl: 0
sample: 21, mc_sample: 15, mean reward: 34.611, std reward: 4.505, kl: 0
sample: 22, mc_sample: 15, mean reward: 36.832, std reward: 3.861, kl: 0
sample: 23, mc_sample: 15, mean reward: 36.36, std reward: 4.789, kl: 0
sample: 24, mc_sample: 15, mean reward: 20.191, std reward: 2.499, kl: 0
sample: 25, mc_sample: 15, mean reward: 34.514, std reward: 2.875, kl: 35656.07421875
sample: 26, mc_sample: 15, mean reward: 27.248, std reward: 2.78, kl: 35656.07421875
sample: 27, mc_sample: 15, mean reward: 33.769, std reward: 4.245, kl: 35656.07421875
sample: 28, mc_sample: 15, mean reward: 25.526, std reward: 2.48, kl: 35656.07421875
sample: 29, mc_sample: 15, mean reward: 33.235, std reward: 3.439, kl: 35656.07421875
sample: 30, mc_sample: 15, mean reward: 38.231, std reward: 6.117, kl: 35656.07421875
sample: 31, mc_sample: 15, mean reward: 28.813, std reward: 3.156, kl: 35656.07421875
sample: 32, mc_sample: 15, mean reward: 36.592, std reward: 3.417, kl: 35656.07421875
sample: 33, mc_sample: 15, mean reward: 23.093, std reward: 4.562, kl: 35656.07421875
sample: 34, mc_sample: 15, mean reward: 24.191, std reward: 3.396, kl: 35656.07421875
sample: 35, mc_sample: 15, mean reward: 33.921, std reward: 4.234, kl: 35656.07421875
sample: 36, mc_sample: 15, mean reward: 36.868, std reward: 4.17, kl: 35656.07421875
sample: 37, mc_sample: 15, mean reward: 29.814, std reward: 2.774, kl: 35656.07421875
