sample: 0, mc_sample: 15, mean reward: 28.964, std reward: 3.198, kl: 0
sample: 1, mc_sample: 15, mean reward: 37.447, std reward: 5.854, kl: 0
sample: 2, mc_sample: 15, mean reward: 28.085, std reward: 5.39, kl: 0
sample: 3, mc_sample: 15, mean reward: 24.024, std reward: 2.441, kl: 0
sample: 4, mc_sample: 15, mean reward: 21.224, std reward: 2.334, kl: 0
sample: 5, mc_sample: 15, mean reward: 23.583, std reward: 3.992, kl: 0
sample: 6, mc_sample: 15, mean reward: 20.631, std reward: 2.095, kl: 0
sample: 7, mc_sample: 15, mean reward: 35.533, std reward: 4.001, kl: 0
sample: 8, mc_sample: 15, mean reward: 30.977, std reward: 3.4, kl: 0
sample: 9, mc_sample: 15, mean reward: 33.533, std reward: 3.313, kl: 0
sample: 10, mc_sample: 15, mean reward: 42.723, std reward: 3.724, kl: 0
sample: 11, mc_sample: 15, mean reward: 35.187, std reward: 3.214, kl: 0
sample: 12, mc_sample: 15, mean reward: 29.717, std reward: 4.541, kl: 0
sample: 13, mc_sample: 15, mean reward: 27.724, std reward: 2.837, kl: 0
sample: 14, mc_sample: 15, mean reward: 24.62, std reward: 3.113, kl: 0
sample: 15, mc_sample: 15, mean reward: 27.481, std reward: 3.435, kl: 0
sample: 16, mc_sample: 15, mean reward: 27.2, std reward: 4.082, kl: 0
sample: 17, mc_sample: 15, mean reward: 19.934, std reward: 2.447, kl: 0
sample: 18, mc_sample: 15, mean reward: 37.145, std reward: 4.796, kl: 0
sample: 19, mc_sample: 15, mean reward: 31.486, std reward: 3.788, kl: 0
sample: 20, mc_sample: 15, mean reward: 39.631, std reward: 4.448, kl: 0
sample: 21, mc_sample: 15, mean reward: 40.34, std reward: 4.615, kl: 0
sample: 22, mc_sample: 15, mean reward: 37.296, std reward: 4.348, kl: 0
sample: 23, mc_sample: 15, mean reward: 35.583, std reward: 4.037, kl: 0
sample: 24, mc_sample: 15, mean reward: 39.6, std reward: 3.858, kl: 0
