sample: 0, mc_sample: 2, mean reward: 24.755, std reward: 3.286, kl: 0
sample: 1, mc_sample: 2, mean reward: 31.998, std reward: 1.508, kl: 16639.5
sample: 2, mc_sample: 2, mean reward: 25.971, std reward: 3.677, kl: 16639.5
sample: 3, mc_sample: 2, mean reward: 38.875, std reward: 1.653, kl: 16639.5
sample: 4, mc_sample: 2, mean reward: 21.536, std reward: 2.059, kl: 16639.5
sample: 5, mc_sample: 2, mean reward: 24.086, std reward: 1.346, kl: 16639.5
sample: 6, mc_sample: 2, mean reward: 21.49, std reward: 2.927, kl: 16639.5
sample: 7, mc_sample: 2, mean reward: 37.224, std reward: 1.719, kl: 16639.5
sample: 8, mc_sample: 2, mean reward: 30.232, std reward: 0.916, kl: 16639.5
sample: 9, mc_sample: 2, mean reward: 37.88, std reward: 5.793, kl: 16639.5
sample: 10, mc_sample: 2, mean reward: 29.796, std reward: 3.872, kl: 16639.5
sample: 11, mc_sample: 2, mean reward: 25.748, std reward: 2.034, kl: 16639.5
sample: 12, mc_sample: 2, mean reward: 25.174, std reward: 2.588, kl: 16639.5
sample: 13, mc_sample: 2, mean reward: 29.471, std reward: 0.769, kl: 16639.5
sample: 14, mc_sample: 2, mean reward: 32.34, std reward: 4.122, kl: 16639.5
sample: 15, mc_sample: 2, mean reward: 31.435, std reward: 1.396, kl: 16639.5
sample: 16, mc_sample: 2, mean reward: 24.019, std reward: 1.603, kl: 16639.5
sample: 17, mc_sample: 2, mean reward: 25.39, std reward: 0.522, kl: 16639.5
sample: 18, mc_sample: 2, mean reward: 18.392, std reward: 0.275, kl: 16639.5
sample: 19, mc_sample: 2, mean reward: 30.282, std reward: 2.949, kl: 16639.5
sample: 20, mc_sample: 2, mean reward: 34.359, std reward: 2.634, kl: 16639.5
sample: 21, mc_sample: 2, mean reward: 36.804, std reward: 3.71, kl: 16639.5
sample: 22, mc_sample: 2, mean reward: 33.147, std reward: 1.863, kl: 16639.5
sample: 23, mc_sample: 2, mean reward: 35.842, std reward: 3.037, kl: 16639.5
sample: 24, mc_sample: 2, mean reward: 25.034, std reward: 5.267, kl: 16639.5
sample: 25, mc_sample: 2, mean reward: 31.93, std reward: 1.461, kl: 16639.5
sample: 26, mc_sample: 2, mean reward: 33.177, std reward: 0.867, kl: 16639.494140625
sample: 27, mc_sample: 2, mean reward: 27.785, std reward: 2.652, kl: 16639.494140625
sample: 28, mc_sample: 2, mean reward: 39.731, std reward: 1.964, kl: 16639.494140625
sample: 29, mc_sample: 2, mean reward: 34.633, std reward: 2.237, kl: 16639.494140625
sample: 30, mc_sample: 2, mean reward: 32.28, std reward: 2.81, kl: 16639.494140625
sample: 31, mc_sample: 2, mean reward: 30.335, std reward: 0.678, kl: 16639.494140625
sample: 32, mc_sample: 2, mean reward: 40.515, std reward: 1.107, kl: 16639.494140625
sample: 33, mc_sample: 2, mean reward: 26.271, std reward: 1.736, kl: 16639.494140625
sample: 34, mc_sample: 2, mean reward: 37.228, std reward: 2.296, kl: 16639.494140625
sample: 35, mc_sample: 2, mean reward: 23.581, std reward: 1.595, kl: 16639.494140625
sample: 36, mc_sample: 2, mean reward: 38.442, std reward: 1.198, kl: 16639.494140625
sample: 37, mc_sample: 2, mean reward: 35.604, std reward: 4.819, kl: 16639.494140625
sample: 38, mc_sample: 2, mean reward: 27.468, std reward: 2.173, kl: 16639.494140625
sample: 39, mc_sample: 2, mean reward: 38.541, std reward: 0.952, kl: 16639.494140625
