sample: 0, mc_sample: 15, mean reward: 36.848, std reward: 4.21, kl: 0
sample: 1, mc_sample: 15, mean reward: 34.391, std reward: 4.328, kl: 0
sample: 2, mc_sample: 15, mean reward: 39.0, std reward: 4.814, kl: 0
sample: 3, mc_sample: 15, mean reward: 34.702, std reward: 3.578, kl: 0
sample: 4, mc_sample: 15, mean reward: 29.933, std reward: 3.138, kl: 0
sample: 5, mc_sample: 15, mean reward: 34.01, std reward: 4.574, kl: 0
sample: 6, mc_sample: 15, mean reward: 33.075, std reward: 3.762, kl: 0
sample: 7, mc_sample: 15, mean reward: 28.907, std reward: 4.031, kl: 0
sample: 8, mc_sample: 15, mean reward: 23.082, std reward: 3.977, kl: 0
sample: 9, mc_sample: 15, mean reward: 32.255, std reward: 2.902, kl: 0
sample: 10, mc_sample: 15, mean reward: 19.737, std reward: 3.093, kl: 0
sample: 11, mc_sample: 15, mean reward: 16.367, std reward: 2.662, kl: 0
sample: 12, mc_sample: 15, mean reward: 26.642, std reward: 3.505, kl: 0
sample: 13, mc_sample: 15, mean reward: 27.286, std reward: 2.949, kl: 0
sample: 14, mc_sample: 15, mean reward: 37.005, std reward: 3.583, kl: 0
sample: 15, mc_sample: 15, mean reward: 26.524, std reward: 3.96, kl: 0
sample: 16, mc_sample: 15, mean reward: 17.604, std reward: 2.644, kl: 0
sample: 17, mc_sample: 15, mean reward: 29.966, std reward: 3.525, kl: 0
sample: 18, mc_sample: 15, mean reward: 36.89, std reward: 3.829, kl: 0
sample: 19, mc_sample: 15, mean reward: 34.755, std reward: 3.267, kl: 0
sample: 20, mc_sample: 15, mean reward: 24.3, std reward: 4.092, kl: 0
sample: 21, mc_sample: 15, mean reward: 34.324, std reward: 4.131, kl: 0
sample: 22, mc_sample: 15, mean reward: 22.831, std reward: 3.062, kl: 0
sample: 23, mc_sample: 15, mean reward: 29.504, std reward: 3.992, kl: 0
sample: 24, mc_sample: 15, mean reward: 33.384, std reward: 3.977, kl: 0
