sample: 94, mc_sample: 10, mean reward: -8.222, std reward: 4.022
sample: 95, mc_sample: 10, mean reward: -9.773, std reward: 5.113
sample: 96, mc_sample: 10, mean reward: -8.562, std reward: 6.311
sample: 97, mc_sample: 10, mean reward: -10.354, std reward: 4.072
sample: 98, mc_sample: 10, mean reward: -9.523, std reward: 8.189
sample: 99, mc_sample: 10, mean reward: -9.172, std reward: 4.63
sample: 100, mc_sample: 10, mean reward: -4.968, std reward: 2.274
sample: 101, mc_sample: 10, mean reward: -7.069, std reward: 2.6
sample: 102, mc_sample: 10, mean reward: -6.264, std reward: 5.515
sample: 103, mc_sample: 10, mean reward: -5.964, std reward: 3.862
sample: 104, mc_sample: 10, mean reward: -5.702, std reward: 3.146
sample: 105, mc_sample: 10, mean reward: -4.651, std reward: 2.549
sample: 106, mc_sample: 10, mean reward: -6.167, std reward: 3.291
sample: 107, mc_sample: 10, mean reward: -7.07, std reward: 3.755
sample: 108, mc_sample: 10, mean reward: -5.714, std reward: 4.146
sample: 109, mc_sample: 10, mean reward: -5.968, std reward: 3.534
sample: 110, mc_sample: 10, mean reward: -6.303, std reward: 3.437
sample: 111, mc_sample: 10, mean reward: -5.018, std reward: 2.409
sample: 112, mc_sample: 10, mean reward: -9.176, std reward: 8.127
sample: 113, mc_sample: 10, mean reward: -6.042, std reward: 4.113
sample: 114, mc_sample: 10, mean reward: -6.946, std reward: 2.91
sample: 115, mc_sample: 10, mean reward: -6.133, std reward: 3.9
sample: 116, mc_sample: 10, mean reward: -3.876, std reward: 2.203
sample: 117, mc_sample: 10, mean reward: -8.365, std reward: 4.191
sample: 118, mc_sample: 10, mean reward: -6.485, std reward: 3.04
sample: 119, mc_sample: 10, mean reward: -7.696, std reward: 2.904
sample: 120, mc_sample: 10, mean reward: -6.595, std reward: 4.115
sample: 121, mc_sample: 10, mean reward: -6.822, std reward: 3.04
sample: 122, mc_sample: 10, mean reward: -6.356, std reward: 2.024
sample: 123, mc_sample: 10, mean reward: -5.557, std reward: 3.454
sample: 124, mc_sample: 10, mean reward: -7.323, std reward: 3.839
sample: 125, mc_sample: 10, mean reward: -4.762, std reward: 3.65
sample: 126, mc_sample: 10, mean reward: -4.487, std reward: 3.646
sample: 127, mc_sample: 10, mean reward: -6.431, std reward: 3.674
sample: 128, mc_sample: 10, mean reward: -6.654, std reward: 3.087
sample: 129, mc_sample: 10, mean reward: -5.751, std reward: 3.303
sample: 130, mc_sample: 10, mean reward: -6.58, std reward: 4.051
sample: 131, mc_sample: 10, mean reward: -6.747, std reward: 3.241
sample: 132, mc_sample: 10, mean reward: -7.013, std reward: 2.017
sample: 133, mc_sample: 10, mean reward: -6.182, std reward: 2.543
sample: 134, mc_sample: 10, mean reward: -4.812, std reward: 3.748
sample: 135, mc_sample: 10, mean reward: -4.917, std reward: 2.05
sample: 136, mc_sample: 10, mean reward: -6.364, std reward: 2.201
sample: 137, mc_sample: 10, mean reward: -4.598, std reward: 2.797
sample: 138, mc_sample: 10, mean reward: -7.345, std reward: 3.04
sample: 139, mc_sample: 10, mean reward: -5.267, std reward: 3.268
sample: 140, mc_sample: 10, mean reward: -4.825, std reward: 4.398
sample: 141, mc_sample: 10, mean reward: -6.176, std reward: 4.035
sample: 142, mc_sample: 10, mean reward: -6.216, std reward: 2.75
sample: 143, mc_sample: 10, mean reward: -4.926, std reward: 2.701
sample: 144, mc_sample: 10, mean reward: -5.001, std reward: 3.905
sample: 145, mc_sample: 10, mean reward: -7.218, std reward: 3.606
sample: 146, mc_sample: 10, mean reward: -5.949, std reward: 3.368
sample: 147, mc_sample: 10, mean reward: -5.047, std reward: 4.054
sample: 148, mc_sample: 10, mean reward: -6.432, std reward: 4.262
sample: 149, mc_sample: 10, mean reward: -6.218, std reward: 3.084
sample: 150, mc_sample: 10, mean reward: -4.623, std reward: 3.937
sample: 151, mc_sample: 10, mean reward: -4.89, std reward: 3.11
sample: 152, mc_sample: 10, mean reward: -4.625, std reward: 3.357
sample: 153, mc_sample: 10, mean reward: -4.484, std reward: 2.776
sample: 154, mc_sample: 10, mean reward: -5.071, std reward: 2.895
sample: 155, mc_sample: 10, mean reward: -5.798, std reward: 2.155
sample: 156, mc_sample: 10, mean reward: -5.923, std reward: 3.709
sample: 157, mc_sample: 10, mean reward: -4.601, std reward: 3.024
sample: 158, mc_sample: 10, mean reward: -4.025, std reward: 3.233
sample: 159, mc_sample: 10, mean reward: -4.437, std reward: 1.787
sample: 160, mc_sample: 10, mean reward: -2.423, std reward: 2.31
sample: 161, mc_sample: 10, mean reward: -5.698, std reward: 2.123
sample: 162, mc_sample: 10, mean reward: -5.758, std reward: 3.722
sample: 163, mc_sample: 10, mean reward: -6.16, std reward: 3.149
sample: 164, mc_sample: 10, mean reward: -5.349, std reward: 2.916
sample: 165, mc_sample: 10, mean reward: -5.534, std reward: 3.641
sample: 166, mc_sample: 10, mean reward: -3.369, std reward: 2.644
sample: 167, mc_sample: 10, mean reward: -5.242, std reward: 3.213
sample: 168, mc_sample: 10, mean reward: -6.174, std reward: 3.42
sample: 169, mc_sample: 10, mean reward: -5.042, std reward: 1.844
sample: 170, mc_sample: 10, mean reward: -4.785, std reward: 2.537
sample: 171, mc_sample: 10, mean reward: -4.894, std reward: 2.732
sample: 172, mc_sample: 10, mean reward: -4.998, std reward: 1.521
sample: 173, mc_sample: 10, mean reward: -4.527, std reward: 2.67
sample: 174, mc_sample: 10, mean reward: -5.689, std reward: 2.521
sample: 175, mc_sample: 10, mean reward: -4.567, std reward: 2.085
sample: 176, mc_sample: 10, mean reward: -3.658, std reward: 2.587
sample: 177, mc_sample: 10, mean reward: -5.302, std reward: 3.772
sample: 178, mc_sample: 10, mean reward: -5.653, std reward: 2.724
sample: 179, mc_sample: 10, mean reward: -3.989, std reward: 3.179
sample: 180, mc_sample: 10, mean reward: -4.328, std reward: 2.997
sample: 181, mc_sample: 10, mean reward: -5.182, std reward: 3.233
sample: 182, mc_sample: 10, mean reward: -4.758, std reward: 4.474
sample: 183, mc_sample: 10, mean reward: -4.368, std reward: 2.412
