sample: 71, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.359375
sample: 72, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80254.359375
sample: 73, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80254.359375
sample: 74, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80254.359375
sample: 75, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80254.359375
sample: 76, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9453125
sample: 77, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9453125
sample: 78, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9453125
sample: 79, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9453125
sample: 80, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9453125
sample: 81, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.9453125
sample: 82, mc_sample: 1, mean reward: -0.7, std reward: 0.0, kl: 80253.9453125
sample: 83, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.9453125
sample: 84, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9453125
sample: 85, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.9453125
sample: 86, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80253.9453125
sample: 87, mc_sample: 1, mean reward: -0.8, std reward: 0.0, kl: 80253.9453125
sample: 88, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80253.9453125
sample: 89, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.9453125
sample: 90, mc_sample: 1, mean reward: -0.4, std reward: 0.0, kl: 80253.9453125
sample: 91, mc_sample: 1, mean reward: 0.5, std reward: 0.0, kl: 80253.9453125
sample: 92, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.9453125
sample: 93, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.9453125
sample: 94, mc_sample: 1, mean reward: 0.4, std reward: 0.0, kl: 80253.9453125
sample: 95, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.9453125
sample: 96, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.9453125
sample: 97, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.9453125
sample: 98, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9453125
sample: 99, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80253.9453125
sample: 100, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.9453125
sample: 101, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.375
sample: 102, mc_sample: 1, mean reward: 0.3, std reward: 0.0, kl: 80253.375
sample: 103, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.375
sample: 104, mc_sample: 1, mean reward: 0.3, std reward: 0.0, kl: 80253.375
sample: 105, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.375
sample: 106, mc_sample: 1, mean reward: -0.4, std reward: 0.0, kl: 80253.375
sample: 107, mc_sample: 1, mean reward: 0.4, std reward: 0.0, kl: 80253.375
sample: 108, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.375
sample: 109, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.375
sample: 110, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.375
sample: 111, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.375
sample: 112, mc_sample: 1, mean reward: 0.4, std reward: 0.0, kl: 80253.375
sample: 113, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.375
sample: 114, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.375
sample: 115, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.375
sample: 116, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.375
sample: 117, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.375
sample: 118, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.375
sample: 119, mc_sample: 1, mean reward: 0.6, std reward: 0.0, kl: 80253.375
sample: 120, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.375
sample: 121, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.375
sample: 122, mc_sample: 1, mean reward: -0.3, std reward: 0.0, kl: 80253.375
sample: 123, mc_sample: 1, mean reward: -0.5, std reward: 0.0, kl: 80253.375
sample: 124, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.375
sample: 125, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.375
sample: 126, mc_sample: 1, mean reward: 0.3, std reward: 0.0, kl: 80252.953125
sample: 127, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 128, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.953125
sample: 129, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.953125
sample: 130, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 131, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.953125
sample: 132, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80252.953125
sample: 133, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 134, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.953125
sample: 135, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 136, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80252.953125
sample: 137, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 138, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.953125
sample: 139, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.953125
sample: 140, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.953125
sample: 141, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.953125
sample: 142, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 143, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 144, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.953125
sample: 145, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.953125
sample: 146, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80252.953125
sample: 147, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 148, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.953125
sample: 149, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.953125
sample: 150, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.953125
sample: 151, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.828125
sample: 152, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.828125
sample: 153, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.828125
sample: 154, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 155, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.828125
sample: 156, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80252.828125
sample: 157, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 158, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80252.828125
sample: 159, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 160, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80252.828125
sample: 161, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 162, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.828125
sample: 163, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 164, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.828125
sample: 165, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.828125
sample: 166, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80252.828125
sample: 167, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 168, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80252.828125
sample: 169, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 170, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 171, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.828125
sample: 172, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.828125
sample: 173, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80252.828125
sample: 174, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80252.828125
sample: 175, mc_sample: 1, mean reward: 0.3, std reward: 0.0, kl: 80252.828125
sample: 176, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 177, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 178, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 179, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80253.015625
sample: 180, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.015625
sample: 181, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 182, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 183, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.015625
sample: 184, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.015625
sample: 185, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.015625
sample: 186, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 187, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.015625
sample: 188, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 189, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.015625
sample: 190, mc_sample: 1, mean reward: 0.3, std reward: 0.0, kl: 80253.015625
sample: 191, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.015625
sample: 192, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.015625
sample: 193, mc_sample: 1, mean reward: -0.2, std reward: 0.0, kl: 80253.015625
sample: 194, mc_sample: 1, mean reward: 0.2, std reward: 0.0, kl: 80253.015625
sample: 195, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 196, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 197, mc_sample: 1, mean reward: 0.0, std reward: 0.0, kl: 80253.015625
sample: 198, mc_sample: 1, mean reward: -0.1, std reward: 0.0, kl: 80253.015625
sample: 199, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.015625
sample: 200, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.015625
sample: 201, mc_sample: 1, mean reward: 0.1, std reward: 0.0, kl: 80253.3359375
